,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.7071802056610212,0.019440575550916946,36.376505613675924,1.00154397382698e-289,0.6690773777424941,0.7452830335795484
log_median_household_income,0.013659750347040419,0.06638345051210755,0.2057704178023865,0.8369702498642269,-0.11644942182618737,0.1437689225202682
pct_black,-0.023805945636106926,0.02585083795848768,-0.9208964782625413,0.35710447744932605,-0.07447265700492371,0.02686076573270986
pct_hispanic,-0.012942609718483072,0.03590609000259099,-0.360457229332103,0.7185052359225943,-0.08331725294921512,0.05743203351224897
pct_asian,-0.015542098031262268,0.01878738067665002,-0.8272626343585423,0.40808821754744395,-0.05236468752134006,0.021280491458815526
poverty_rate,0.0059746571542141635,0.036982978450925436,0.16155154085661963,0.8716590206888161,-0.0665106486506206,0.07845996295904893
cdd65_2023,0.0038919525480057247,0.03218301277937538,0.12093188958679155,0.9037449832899125,-0.05918559341356232,0.06696949850957377
hdd65_2023,0.10040039165876723,0.03278777681025772,3.0621286780065176,0.0021976895513397083,0.03613752997752452,0.16466325334000992
pct_bachelors_plus,0.21296143722824157,0.05915091616296122,3.600306656984504,0.0003178420993957706,0.09702777189628942,0.3288951025601937
log_median_housing_value,-0.028866781733113495,0.0647577113093589,-0.4457659350438103,0.655766330918701,-0.15578956362069907,0.09805600015447208
pct_multifamily_units,0.1101799425859101,0.06430030863900484,1.7135212088091671,0.08661669496027372,-0.015846346541349088,0.2362062317131693
pct_mobile_home_units,0.04585421356541964,0.029278290472442944,1.5661506469641095,0.11731335353650095,-0.011530181289470733,0.10323860842031002
pct_other_housing_units,-0.025887733427566204,0.014999089462016892,-1.7259536649290137,0.08435574895928138,-0.05528540857401357,0.0035099417188811585
owner_occupied_rate,-0.18033787055932482,0.0687101764097108,-2.624616614051331,0.008674658181733737,-0.31500734169375166,-0.045668399424898004
