,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2554005456037832,0.01116454422000782,22.876038696329722,8.04873021145931e-116,0.23351844102876307,0.2772826501788034
log_median_household_income,0.042229231617039176,0.023792795994679945,1.7748746984793888,0.0759185788397007,-0.0044037916240423705,0.08886225485812072
pct_black,-0.018458146553561743,0.009781188676576671,-1.8871066865077517,0.05914597754092733,-0.037628924085643015,0.0007126309785195281
pct_hispanic,0.014378023544013227,0.016794254757259094,0.8561275121659397,0.39192725228782643,-0.018538110927405066,0.04729415801543152
pct_asian,0.001018977543490906,0.009515966271636938,0.10708082756956025,0.9147248570877057,-0.01763197362701539,0.0196699287139972
poverty_rate,0.0036132604860775854,0.02131071047916019,0.16955138542241488,0.8653629576560666,-0.038154964538036705,0.04538148551019188
cdd65_2023,0.0294944187771189,0.01624153152942917,1.8159875331754207,0.06937228453838352,-0.0023383980743340166,0.06132723562857181
hdd65_2023,0.07384271986091068,0.01759947673219122,4.195733826895256,2.719895184384526e-05,0.0393483793190652,0.10833706040275615
pct_multifamily_units,0.09766339293825758,0.015153418845893376,6.444974162693633,1.1562011162096577e-10,0.06796323775765606,0.1273635481188591
pct_mobile_home_units,0.027962147092380162,0.01762639185988195,1.5863795219498449,0.11265324289890463,-0.006584946130378435,0.06250924031513876
