,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.24428406694279042,0.012860119897566436,18.9954735172428,1.8590318485715196e-80,0.21907869510669328,0.2694894387788876
log_median_household_income_c,0.008357778257174939,0.030580239350412,0.273306502326717,0.7846176174141344,-0.05157838950824712,0.068293946022597
pct_black_c,-0.012506537866597865,0.007950599120292608,-1.573030871934791,0.11571166996418307,-0.028089425797887216,0.003076350064691485
pct_hispanic_c,-0.00097776004812662,0.014335946524100845,-0.06820338276812492,0.9456237341846622,-0.02907569891965645,0.027120178823403212
pct_asian_c,0.008277347235138248,0.011426409383118848,0.7244049252573637,0.46881717699231895,-0.014118003628385228,0.030672698098661723
poverty_rate,0.020306404444584734,0.02354477012064397,0.862459235768038,0.38843485588423976,-0.025840497016152233,0.0664533059053217
cdd65_2023,-0.007514204416557222,0.016074325036494926,-0.4674662481626492,0.6401663345773623,-0.03901930256387777,0.023990893730763324
hdd65_2023,0.03392582488730247,0.01839993725922344,1.8438011178704579,0.06521212975646198,-0.0021373894585721073,0.06998903923317704
log_median_household_income_c:pct_black_c,-0.010863254674908425,0.01801243873747831,-0.6030973836044397,0.5464439068964903,-0.04616698587410003,0.024440476524283182
log_median_household_income_c:pct_hispanic_c,-0.00491762559612125,0.022969501600072,-0.2140937004965678,0.8304739881867813,-0.049937021475097515,0.04010177028285501
log_median_household_income_c:pct_asian_c,0.01731918841226084,0.010767395421510478,1.608484478768335,0.10772911286689774,-0.0037845188212011736,0.03842289564572285
