,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.24273899551229108,0.012218524243710368,19.866474106907297,7.938692993907099e-88,0.21879112805038925,0.2666868629741929
log_median_household_income_c,-0.009417186971786503,0.019729923005704895,-0.47730480088865673,0.6331450928136315,-0.04808712548071635,0.02925275153714334
pct_black_c,-0.012049874861994471,0.007984411050158733,-1.5091751647424156,0.13125402511039322,-0.02769903295806922,0.0035992832340802777
pct_hispanic_c,-0.0019542866469200535,0.014309116691673562,-0.13657633025365204,0.8913656868766683,-0.029999640013181166,0.026091066719341055
pct_asian_c,0.01008781097115018,0.011173010875009621,0.9028731005456481,0.36659324854700626,-0.011810887942743032,0.031986509885043396
cdd65_2023,-0.008571622624827404,0.0160711231607886,-0.5333555432977467,0.5937874856094394,-0.04007044521108058,0.022927199961425768
hdd65_2023,0.03544884541650122,0.018580384152692687,1.9078639669225537,0.05640880054241491,-0.0009680383416952112,0.07186572917469766
log_median_household_income_c:pct_black_c,-0.012022209978299479,0.018319833239461836,-0.6562401426451326,0.5116696240841354,-0.04792842333042442,0.023884003373825468
log_median_household_income_c:pct_hispanic_c,-0.009671078249222503,0.0206903031640555,-0.4674208092815049,0.6401988373394298,-0.05022332727998641,0.0308811707815414
log_median_household_income_c:pct_asian_c,0.01676559791147847,0.010761393666933114,1.5579392809497035,0.11924764241060098,-0.00432634609916786,0.0378575419221248
