,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.23262442037781408,0.02012038913886439,11.561626307141273,6.4475971527470624e-31,0.193189182310709,0.27205965844491914
C(utility)[T.San Diego Gas & Electric],0.06369896907285941,0.049665122115194395,1.2825694644445773,0.1996429538758019,-0.03364288156070536,0.16104081970642417
C(utility)[T.Southern California Edison],0.046696265499871346,0.038719567430388804,1.2060120657035565,0.22781283818295672,-0.02919269216066079,0.12258522316040349
log_median_household_income,0.026571066455776202,0.023827384979568784,1.1151482413433131,0.2647869017053598,-0.020129749949949264,0.07327188286150167
pct_black,-0.014064804897648206,0.009637022442928746,-1.4594554470471723,0.14443979459847667,-0.03295302180399276,0.004823412008696345
pct_hispanic,0.009116645047234638,0.018332348085833797,0.4972982732244467,0.6189787292742733,-0.026814096953051404,0.04504738704752068
pct_asian,0.02038524447196496,0.009832850256630754,2.073177556855219,0.03815575825702356,0.0011132121035932543,0.03965727684033667
poverty_rate,0.03251721598418583,0.02154778385043165,1.509074724802126,0.13127968783509208,-0.00971566430931401,0.07475009627768567
cdd65_2023,-0.0015658508681835916,0.017334390126308875,-0.09033204264896849,0.92802335787747,-0.035540631209715706,0.032408929473348516
hdd65_2023,0.04388580951978119,0.025117211232372545,1.7472405321502638,0.0805956236511799,-0.0053430198877539095,0.09311463892731628
