,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2408662318158139,0.021424386260092132,11.242619923469308,2.5179678143790745e-29,0.19887520635515854,0.28285725727646926
C(utility)[T.San Diego Gas & Electric],0.041594716233788236,0.032623641068814005,1.2749869380321859,0.20231386529360318,-0.022346445305649006,0.10553587777322548
C(utility)[T.Southern California Edison],0.02395406397372575,0.03330778967617502,0.7191730284900901,0.47203431555833475,-0.041328004196212326,0.08923613214366383
log_median_household_income,0.02417712757009254,0.02123749865544972,1.1384169088052414,0.2549464368086004,-0.017447604916306734,0.06580186005649181
pct_black,-0.012862540924550246,0.007461977757195596,-1.7237442060379875,0.08475403085800765,-0.027487748582092582,0.0017626667329920902
pct_hispanic,0.0035429890352359703,0.02366122540059296,0.14973818875615721,0.8809711775617441,-0.04283216058001054,0.04991813865048248
pct_asian,0.02043587115598986,0.01003736728852511,2.0359792133294254,0.04175244261701646,0.0007629927708801866,0.04010874954109954
poverty_rate,0.0322064237262102,0.017536033397315378,1.8365854464636648,0.06627111741358584,-0.0021635701642195096,0.0665764176166399
cdd65_2023,-0.000946343391958181,0.024238163144915146,-0.03904352760975254,0.968855685038819,-0.04845227020739796,0.04655958342348159
hdd65_2023,0.025841729165753877,0.0205630744289068,1.2567055211076095,0.20886028815311564,-0.014461156126319992,0.06614461445782774
