,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2560860891300572,0.011130005797312348,23.008621360457546,3.8212858701595934e-117,0.234271678619603,0.2779004996405114
log_median_household_income,0.004868456383265345,0.022182763087127747,0.2194702420137382,0.8262837582298519,-0.03860896034508959,0.04834587311162027
pct_black,-0.014259312496891953,0.008271246786519882,-1.7239616789250152,0.0847147613494916,-0.030470658305713577,0.0019520333119296737
pct_hispanic,-0.003064757148478547,0.016518731482210926,-0.18553223362090449,0.8528116003414167,-0.03544087592389991,0.029311361626942815
pct_asian,0.01710554138175564,0.009344255135542781,1.8305944276597523,0.06716110090354778,-0.0012088621462616536,0.03541994490977293
poverty_rate,0.02261287871390544,0.02036078509156634,1.110609370523337,0.26673652758345756,-0.017293526762524655,0.06251928419033553
cdd65_2023,-0.005103373979753737,0.015825625973705168,-0.3224753313539175,0.7470926231559233,-0.03612103092101749,0.025914282961510014
hdd65_2023,0.042778062153986565,0.017305948104352972,2.4718704745928703,0.013440820463263737,0.00885902715113552,0.07669709715683762
plant_capacity_mw,0.052330359911960354,0.020837615890563863,2.5113410376115874,0.01202734406023628,0.01148938324277566,0.09317133658114504
storage_capacity_mw,0.04014974762446985,0.014636000440918479,2.743218530673279,0.006084018168066369,0.011463713882557281,0.06883578136638242
wind_capacity_mw,0.0001993068915957405,0.03855753173230287,0.005169078067016527,0.9958756907832403,-0.07537206663647816,0.07577068041966964
wind_turbine_count,0.054357812557954396,0.03868368524695695,1.4051870242179278,0.15996567161775377,-0.021460817315364658,0.13017644243127346
PV_system_size_DC,-0.01439657038047327,0.01364793323011145,-1.0548535179458602,0.29149232365466193,-0.041146027974899115,0.012352887213952576
