,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2645695429257326,0.013107937906947233,20.183917928502716,1.3556345350655559e-90,0.2388784567165287,0.2902606291349365
log_median_household_income,0.12338556850486007,0.04042164431957027,3.05246287185607,0.0022697180755632284,0.04416060144261427,0.20261053556710587
pct_black,-0.024059415723481373,0.010144454057640319,-2.371681668306336,0.017707339320806637,-0.043942180319277616,-0.004176651127685133
pct_hispanic,-0.020620891241126857,0.027094317645556084,-0.7610780795769191,0.44661043245257237,-0.07372477801210486,0.03248299552985114
pct_asian,-0.007836456987162998,0.01015508506286544,-0.7716781236839586,0.4403050906443231,-0.027740057970319927,0.012067143995993934
poverty_rate,-0.01275452528680747,0.026269944213108715,-0.48551779110527976,0.6273090956551524,-0.06424266982037696,0.038733619246762024
cdd65_2023,-0.0012469460451057825,0.021246020784529945,-0.058690804162901525,0.9531983839281098,-0.042888381597573896,0.04039448950736234
hdd65_2023,0.030966577638012145,0.022630213914876265,1.3683731737796727,0.171195296835138,-0.013387826597582517,0.07532098187360681
pct_bachelors_plus,0.025939320013654003,0.03939189840496533,0.6584937782634098,0.5102208936512913,-0.05126738214273884,0.10314602217004684
log_median_housing_value,-0.14411111481803196,0.051805924005866505,-2.7817497242537903,0.0054066716836979264,-0.2456488600553493,-0.0425733695807146
pct_multifamily_units,0.019263466634251568,0.04937725804937405,0.3901283180809545,0.6964416638086814,-0.07751418079786204,0.11604111406636519
pct_mobile_home_units,0.012912616809257408,0.020185270632263885,0.6397049137710367,0.5223644602947062,-0.026649786648173857,0.05247502026668867
pct_other_housing_units,-0.018198895294762582,0.012639806559019409,-1.4398080547978296,0.14992171169725796,-0.04297246092199378,0.006574670332468609
owner_occupied_rate,-0.13603079416433358,0.05967970042111368,-2.279347805107416,0.022646398385689055,-0.2530008575978563,-0.019060730730810868
