,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.2434186294041449,0.019952587005717504,12.199853048348679,3.113854039982892e-34,0.20431227747453673,0.2825249813337531
C(utility)[T.San Diego Gas & Electric],0.04904810831517884,0.0508083423235041,0.9653554135437525,0.33436682546737606,-0.05053441275307132,0.148630629383429
C(utility)[T.Southern California Edison],0.045973689769503105,0.04027497472828748,1.14149518602213,0.2536639141493797,-0.032963810176201196,0.1249111897152074
log_median_household_income,0.13046052486505888,0.04151473717746743,3.1425111595278925,0.0016750532784716053,0.049093135169576696,0.21182791456054106
pct_black,-0.02606292381449164,0.010122813755719955,-2.574671869248274,0.010033522343779121,-0.04590327419790939,-0.006222573431073887
pct_hispanic,-0.02369014787605633,0.02815978188691973,-0.8412759719229376,0.4001933483154716,-0.07888230618692237,0.03150201043480971
pct_asian,-0.007586943348707503,0.01033772069340314,-0.7339087187322633,0.4630043729299601,-0.02784850359001209,0.012674616892597086
poverty_rate,-0.009014025175750798,0.02702626212493358,-0.33352837081509473,0.7387354774007517,-0.06198452557735956,0.043956475225857966
cdd65_2023,-0.002553724068348015,0.02118491490928472,-0.12054445718962004,0.9040518646312579,-0.04407539430609169,0.03896794616939566
hdd65_2023,0.048018445503071404,0.029924057189580352,1.6046769727398988,0.10856491211993503,-0.010631628859822953,0.10666851986596576
pct_bachelors_plus,0.024080368946665057,0.039746521714314566,0.6058484593883997,0.544615387218871,-0.05382138212413069,0.1019821200174608
log_median_housing_value,-0.1468506664368763,0.05218080683591279,-2.814265921542021,0.0048888768001996786,-0.24912316851950683,-0.04457816435424579
pct_multifamily_units,0.012752031333005875,0.04856135534166604,0.26259628141112706,0.7928617665085924,-0.08242647617711135,0.10793053884312309
pct_mobile_home_units,0.010192686825155874,0.0199053525228454,0.5120575892066073,0.6086107053107079,-0.028821087219194616,0.04920646086950636
pct_other_housing_units,-0.017803874212165036,0.01266837429859767,-1.4053795532498468,0.15990844351723388,-0.04263343158008934,0.007025683155759268
owner_occupied_rate,-0.1448454793778063,0.05928417814744604,-2.4432400668110845,0.01455605102371357,-0.26104033339985705,-0.028650625355755577
