,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.005903989894564199,0.0022338650533141806,2.6429483221490893,0.00821875783383937,0.0015256948437457575,0.01028228494538264
log_median_household_income_c,-0.005849421602379075,0.002681799709822683,-2.181155282012403,0.0291719330914973,-0.011105652447381502,-0.0005931907573766479
pct_black_c,-0.00010609726977246393,0.0010752236449181332,-0.0986746062309131,0.9213966317384281,-0.0022134968891378884,0.002001302349592961
pct_hispanic_c,-0.004210971767660845,0.0024418687734648866,-1.7244873325791752,0.08461990381390364,-0.008996946618625018,0.0005750030833033288
pct_asian_c,0.002293058384245968,0.0015137116468154225,1.514858123124144,0.12980833737271344,-0.0006737619264910741,0.00525987869498301
cdd65_2023,-0.0010559110037950846,0.0013794831548917619,-0.7654395778960666,0.44400983308051145,-0.0037596483046626267,0.0016478262970724576
hdd65_2023,-0.0023655199153578698,0.0015743243049044589,-1.5025620248563882,0.132952022255463,-0.005451138852956664,0.0007200990222409245
log_median_household_income_c:pct_black_c,0.00031773416894341684,0.0008140078773499249,0.39033303950058656,0.6962902950786554,-0.0012776919537943335,0.0019131602916811672
log_median_household_income_c:pct_hispanic_c,-0.00030385952491253907,0.00079332566068194,-0.38301991221529685,0.7017050000486558,-0.0018587492478605852,0.001251030198035507
log_median_household_income_c:pct_asian_c,-0.0018587222228097855,0.0010883034890322972,-1.7079079884807986,0.08765341668419972,-0.00399175786556237,0.00027431341994279884
