,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.009371647213066114,0.003987330735226927,2.350356124278904,0.018755456943172464,0.001556622577571722,0.017186671848560507
C(utility)[T.San Diego Gas & Electric],-0.012440185845243996,0.005214007830173332,-2.3859162184707423,0.017036631790871004,-0.022659453407493563,-0.0022209182829944305
C(utility)[T.Southern California Edison],-0.00729719552682441,0.0046478334647799486,-1.5700208671676008,0.11641025671325757,-0.016406781723933124,0.0018123906702843025
log_median_household_income,-0.005300927992877814,0.004664353511455768,-1.1364764655720463,0.25575720964113535,-0.014442892886494054,0.0038410369007384247
pct_black,2.1653322073400262e-05,0.0013311003556392806,0.016267234834447124,0.9870211968959802,-0.002587255434788047,0.0026305620789348477
pct_hispanic,-0.004992503868185916,0.003234094664449499,-1.5437098743786244,0.12265863310102126,-0.011331212933100085,0.001346205196728253
pct_asian,0.0006282304172254089,0.0009135533847381912,0.6876778387783534,0.4916556785918933,-0.0011623013148161095,0.002418762149266927
poverty_rate,0.001666481783375945,0.004348248712247944,0.3832535564678895,0.7015317715651038,-0.006855929088452693,0.010188892655204583
cdd65_2023,-0.0014866569473016757,0.0017105846361903877,-0.8690928913126349,0.38479632459404833,-0.004839341226742387,0.0018660273321390352
hdd65_2023,-0.005609981743477214,0.002787616524923349,-2.012465377974279,0.044170902770733676,-0.01107360973503568,-0.00014635375191874786
