,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.005237168814864059,0.0017816630572251612,2.9394833066924853,0.0032875997981225763,0.001745173390117218,0.008729164239610902
log_median_household_income,-0.0036053091287346238,0.004375702257551762,-0.823938402690091,0.409974558526896,-0.012181527960606685,0.004970909703137437
pct_black,-0.0002730062986175957,0.0011568264255243108,-0.23599590447967206,0.8134358481835502,-0.002540344429009452,0.001994331831774261
pct_hispanic,-0.004942381542272398,0.003271480159418083,-1.5107478271094048,0.1308527119155566,-0.011354364830869195,0.001469601746324399
pct_asian,0.00033793103790838333,0.0010510065957399998,0.3215308441241994,0.7478081418929367,-0.0017220040372560644,0.002397866113072831
poverty_rate,0.002223913786093804,0.004107280276254538,0.5414565446022614,0.5881929421163736,-0.005826207629776814,0.010274035201964422
cdd65_2023,-0.0013560660238410634,0.0014261639803688413,-0.9508485998155354,0.3416812374908327,-0.004151296061412281,0.001439164013730154
hdd65_2023,-0.002841779728878975,0.0018313653430517243,-1.5517273708715764,0.1207274706409157,-0.0064311898437951955,0.0007476303860372456
plant_mw_per_100k,0.0030743300547631126,0.003787784251864177,0.8116433910537713,0.41699628558684243,-0.004349590660098667,0.010498250769624892
storage_mw_per_100k,-0.0018820254185126515,0.0016247315533692848,-1.1583608471256706,0.24671680993196288,-0.0050664407476622665,0.0013023899106369636
wind_mw_per_100k_ctrl,-0.0012225152291133173,0.0007167115887457743,-1.705728285003296,0.08805868083438641,-0.0026272441303575177,0.00018221367213088315
turbines_per_100k,0.0008665185891556794,0.0007259086441290683,1.1937019846282617,0.2325945638962219,-0.0005562362094035973,0.002289273387714956
