,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.006311252247164107,0.0022383727101313493,2.8195716551573566,0.004808779321176172,0.0019241223513293479,0.010698382142998866
C(utility)[T.San Diego Gas & Electric],-0.008764534389695967,0.004162488109229827,-2.1055998623183196,0.0352391246348598,-0.016922861169862656,-0.0006062076095292787
C(utility)[T.Southern California Edison],-0.005298706096603053,0.0025115393537597642,-2.1097444038338127,0.0348803775465716,-0.010221232775727193,-0.00037617941747891334
log_median_household_income,-0.009499618371409769,0.0064009501881449275,-1.4840950315476322,0.13778371113786514,-0.02204525020700871,0.0030460134641891717
pct_black,-0.00128773140506183,0.0012378442618705954,-1.0403016314151237,0.2981997864933713,-0.0037138615767977647,0.0011383987666741043
pct_hispanic,0.0019171066571402936,0.001467261021369634,1.306588690913867,0.19135243951406855,-0.0009586721006636435,0.00479288541494423
pct_asian,0.0009128637575929147,0.0007381302534984944,1.2367244849621608,0.21618938539822763,-0.0005338449551635545,0.002359572470349384
poverty_rate,-0.0027365661461487122,0.003869677111847372,-0.7071820379458699,0.47945335939870615,-0.010320993917168536,0.004847861624871111
cdd65_2023,-0.003391992999093702,0.0034144161687200544,-0.9934327953833588,0.3204990860622208,-0.010084125718016245,0.003300139719828841
hdd65_2023,-0.0037487070037957194,0.0036542320560924474,-1.0258535709426992,0.30496061031261734,-0.010910870224888666,0.0034134562172972284
pct_bachelors_plus,0.006282305667056826,0.003927311363462169,1.5996454280412802,0.10967726454909109,-0.0014150831614039199,0.013979694495517572
log_median_housing_value,-0.0055829905639666316,0.005513317072435107,-1.0126373090130931,0.31123343230802825,-0.01638889346128925,0.005222912333355987
pct_multifamily_units,0.008952780437303711,0.008494434193859061,1.0539584194761324,0.29190195451435097,-0.007696004651705578,0.025601565526313
pct_mobile_home_units,-0.0003601810450912791,0.0015667807301228283,-0.22988605754874367,0.8181803106747656,-0.0034310148478033926,0.0027106527576208346
pct_other_housing_units,-0.0011451714938632083,0.0005314202302054541,-2.1549264193808915,0.03116759260386643,-0.002186736005721883,-0.00010360698200453369
owner_occupied_rate,0.009385393474414205,0.009635809827442094,0.9740119037722473,0.33005062878446645,-0.009500446749249412,0.02827123369807782
