,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.5185400828363599,0.019151978782120282,27.075013435188925,1.9391729003092245e-161,0.48100289419072884,0.5560772714819909
log_median_household_income_c,0.05865429018691604,0.04040790440783139,1.4515548639921143,0.1466254166693109,-0.020543747143170775,0.13785232751700285
pct_black_c,-0.009251715158012883,0.025360310721540043,-0.3648107966656277,0.7152526451698322,-0.058957010808976355,0.04045358049295059
pct_hispanic_c,-0.11952911888854727,0.023219189521421785,-5.147859221282075,2.634761070789827e-07,-0.16503789410074376,-0.07402034367635076
pct_asian_c,0.033727499315512305,0.021551493148493816,1.5649727414765897,0.11758930090445628,-0.008512651068597311,0.07596764969962191
poverty_rate,0.1479568595535672,0.03542665317654549,4.176427810333584,2.961226605109357e-05,0.07852189523474652,0.21739182387238787
cdd65_2023,-0.1393340942825175,0.020210827915775546,-6.894031994293533,5.423281827563784e-12,-0.1789465890951743,-0.0997215994698607
hdd65_2023,-0.06733725979617988,0.02578869286330065,-2.6111156603833194,0.009024736588429326,-0.11788216901661427,-0.016792350575745484
log_median_household_income_c:pct_black_c,-0.0469167815949495,0.024612043344326276,-1.9062530054321982,0.056617388200705686,-0.09515550013576773,0.0013219369458687472
log_median_household_income_c:pct_hispanic_c,-0.011118488440609435,0.0221393585318889,-0.5022046336435034,0.6155235838567911,-0.05451083380393124,0.032273856922712375
log_median_household_income_c:pct_asian_c,0.025464734671831916,0.02050684066685412,1.241767812288677,0.21432224183868698,-0.014727934471903504,0.06565740381556734
