,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,5.47333797659671,0.04579009228115008,119.53105363908298,0.0,5.383591044876891,5.5630849083165295
log_median_household_income,0.26743530252592274,0.07790736803133945,3.4327344034821294,0.0005975271224294826,0.11473966705419025,0.4201309379976552
pct_black,-0.1574317363612824,0.04681507146813426,-3.3628430209370053,0.0007714421799764087,-0.24918759037249422,-0.06567588235007059
pct_hispanic,0.32824393850025063,0.0577807466728317,5.680853180365524,1.3402449047624415e-08,0.21499575602166793,0.44149212097883334
pct_asian,-0.12539140334659632,0.047760489074239174,-2.625421258808452,0.00865418230430508,-0.21900024181612385,-0.03178256487706879
poverty_rate,-0.11266382191019172,0.0775047292893376,-1.4536380288433701,0.146046687733119,-0.2645702999488201,0.03924265612843664
ghi_mean_kwh_m2_day_2023,0.099616951453199,0.04045881679421282,2.462181530416087,0.01380947523648186,0.020319127679437582,0.17891477522696042
plant_mw_per_100k,0.11340984608507912,0.02861361971887942,3.9634917636879994,7.386141300001162e-05,0.05732818196875035,0.1694915102014079
storage_mw_per_100k,0.6410087618570393,0.10786161467923754,5.942881197943239,2.80055408583477e-09,0.42960388177139686,0.8524136419426817
wind_mw_per_100k_ctrl,0.23541373536095267,0.08110986377491722,2.9024057544250628,0.003703085642374292,0.07644132357116493,0.3943861471507404
turbines_per_100k,-0.20482209690966147,0.07292792324261615,-2.808555184387475,0.004976435267980281,-0.3477581999324907,-0.061885993886832275
