,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.7061274711454018,0.021622619971933238,78.90475221596655,0.0,1.6637479147490162,1.7485070275417873
log_median_household_income,0.2655564699459325,0.046759825117071635,5.679158749654519,1.3535880938056707e-08,0.1739088967930807,0.35720404309878434
pct_black,-0.05616109266181227,0.01756694214004557,-3.196976014043306,0.001388764741827366,-0.09059166657480057,-0.021730518748823965
pct_hispanic,-0.17957363644807206,0.02962916967478866,-6.060704313319673,1.3552677589236986e-09,-0.23764574190248416,-0.12150153099365994
pct_asian,-0.17599581722753588,0.02024539163634146,-8.693129794121386,3.5258918119269666e-18,-0.21567605568767356,-0.1363155787673982
poverty_rate,0.08764127240220732,0.04045631199309025,2.166318877933709,0.03028682812641673,0.008348357948434568,0.16693418685598005
cdd65_2023,-0.10793819836582234,0.033544227221861254,-3.217787598799637,0.0012918344298111486,-0.17368367560989847,-0.04219272112174621
hdd65_2023,-0.1503111490575069,0.03687905391321468,-4.0757864724844985,4.5859086137927e-05,-0.2225927665113186,-0.07802953160369518
pct_multifamily_units,-0.35754174368325664,0.02825986771956815,-12.651925593964542,1.091659945269541e-36,-0.4129300666214763,-0.302153420745037
pct_mobile_home_units,0.024042815604845398,0.030734623515742597,0.7822713557083403,0.4340551171039648,-0.036195939564407906,0.0842815707740987
pct_other_housing_units,-0.050159235279078104,0.022215738814360127,-2.2578243153748034,0.02395661464845332,-0.09370128324517252,-0.006617187312983691
