,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.7842897450825983,0.024666985513406597,72.33513572677255,0.0,1.7359433418691501,1.8326361482960465
log_median_household_income_c,0.2856960613761152,0.048012463046816806,5.950456261690508,2.673960237568868e-09,0.19159336299529403,0.37979875975693633
pct_black_c,-0.10907822661178204,0.02390035421100751,-4.563874896947977,5.0218010418469675e-06,-0.155922060083107,-0.0622343931404571
pct_hispanic_c,-0.17097358116331912,0.029607747455788626,-5.774623058326985,7.712554604707503e-09,-0.22900369984002225,-0.11294346248661599
pct_asian_c,-0.27496251026908086,0.02534855749283588,-10.847264596685314,2.054830165216401e-27,-0.32464477001508213,-0.2252802505230796
poverty_rate,-0.029867882629498146,0.03991177663625303,-0.7483476093211114,0.45425051459526833,-0.10809352739556127,0.04835776213656498
cdd65_2023,0.14080311731089426,0.02923632211945,4.8160338614282265,1.4643968415103843e-06,0.08350097891636052,0.198105255705428
hdd65_2023,0.08373108236413393,0.03220950150636175,2.5995770952119845,0.009333870971021297,0.02060161945167628,0.1468605452765916
log_median_household_income_c:pct_black_c,0.0009928411961725593,0.03976890985078142,0.024965260548952435,0.9800826730326485,-0.0769527898157792,0.07893847220812432
log_median_household_income_c:pct_hispanic_c,-0.0037910940954985523,0.030471149890843863,-0.1244158526697977,0.9009860222537956,-0.06351345044907412,0.055931262258077014
log_median_household_income_c:pct_asian_c,0.03666363587943849,0.023936359300198193,1.5317131322947226,0.1255932403158532,-0.010250766269960347,0.08357803802883731
