,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.771145362456921,0.0355093198667198,49.87832403168278,0.0,1.7015483744026374,1.8407423505112044
C(utility)[T.San Diego Gas & Electric],0.23023836072350448,0.09774498624142663,2.3555004668456747,0.01849777379393196,0.03866170802094518,0.42181501342606376
C(utility)[T.Southern California Edison],-0.03640049635518203,0.05574363508024143,-0.6529982535725292,0.5137574044105566,-0.14565601347979876,0.0728550207694347
log_median_household_income,0.27648055384773146,0.04946276885102289,5.589669973398868,2.2750157977398338e-08,0.17953530832409698,0.37342579937136594
pct_black,-0.11359277369534197,0.021140886546783217,-5.373131984979418,7.73806451563933e-08,-0.15502814992828443,-0.07215739746239952
pct_hispanic,-0.145880164508182,0.02987614324161409,-4.882831205099707,1.0457338425324468e-06,-0.20443632925870536,-0.08732399975765864
pct_asian,-0.23340040454814406,0.023278485874916037,-10.02644269057237,1.1664350165810701e-23,-0.2790253984776039,-0.18777541061868425
poverty_rate,-0.019245950702788246,0.03917858444695417,-0.4912365001049564,0.6232591860056726,-0.09603456518407953,0.05754266377850305
cdd65_2023,0.08782588014854438,0.032097156886555296,2.7362510785287797,0.00621435906450851,0.02491660864476422,0.15073515165232454
hdd65_2023,0.05650971818818532,0.042393791409051564,1.332971558097534,0.18254113764176783,-0.02658058614165929,0.13960002251802994
