,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.7061274711454018,0.02262676077196251,75.40308081833415,0.0,1.6617798349455515,1.750475107345252
log_median_household_income,0.25991200390398905,0.04982664463940979,5.216325638319518,1.825072106021438e-07,0.1622535749402701,0.357570432867708
pct_black,-0.11915534184903499,0.021745326937746074,-5.479583829213541,4.263274224518357e-08,-0.16177539947906597,-0.07653528421900402
pct_hispanic,-0.1779061151440483,0.03022463388222484,-5.886129699280666,3.953441082838042e-09,-0.237145308999118,-0.11866692128897859
pct_asian,-0.2555708878672778,0.02286027519620853,-11.179694280743622,5.126628597926356e-29,-0.3003762039285208,-0.21076557180603472
poverty_rate,-0.01292471906534571,0.04103349163734578,-0.31497975311422305,0.7527770266745528,-0.09334888483446893,0.0674994467037775
cdd65_2023,-0.015820467846200417,0.03280864054227706,-0.48220430913052426,0.6296608160228243,-0.08012422169078412,0.04848328599838328
hdd65_2023,-0.014420054266049784,0.034086209505254574,-0.4230465773504929,0.6722612784565484,-0.0812277972658356,0.05238768873373603
plant_capacity_mw,0.037784621927786165,0.03143647708048727,1.2019356313700689,0.22938846805813495,-0.023829740950787742,0.09939898480636007
wind_capacity_mw,0.0740920328391101,0.039281573355867044,1.8861778312157096,0.059270994848979755,-0.002898436194457496,0.1510825018726777
wind_turbine_count,-0.027897187350716883,0.03792263651660156,-0.7356341729695984,0.46195336000113496,-0.10222418912205944,0.046429814420625666
PV_system_size_DC,0.14756059072846,0.030666608303173578,4.8117675508702895,1.4960129082660454e-06,0.08745514292624282,0.2076660385306772
