,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11116509723783763,0.02157110787873274,5.153425492226891,2.5577072420360216e-07,0.06888650268889326,0.153443691786782
log_median_household_income,-0.01172196228023735,0.03966045375721403,-0.29555794676467073,0.7675676930751322,-0.08945502325489313,0.06601109869441843
pct_black,0.05341311851868752,0.029299353261016185,1.8230135676665444,0.06830133600418539,-0.004012558643220386,0.11083879568059543
pct_hispanic,0.021207497532230935,0.02542951227952139,0.8339718551861303,0.40429684393067433,-0.028633430680050042,0.07104842574451191
pct_asian,-0.008838802735731531,0.017349800853720565,-0.50944692738857,0.6104389901153042,-0.04284378754796612,0.025166182076503056
poverty_rate,0.0009525555349916802,0.030987533874887008,0.030739959457169085,0.9754769231704741,-0.05978189482950176,0.061687005899485114
wind_ws50m_mean_2023,0.09727725069264072,0.030867723838231952,3.15142286494593,0.0016247707169091382,0.03677762368497761,0.15777687770030382
pct_multifamily_units,-0.05283764181109041,0.020155346411375587,-2.6215199050743716,0.008753865021522264,-0.09234139487331519,-0.013333888748865631
pct_mobile_home_units,0.054472801445994666,0.04255760370331785,1.2799781168540723,0.20055283220662778,-0.028938569080836744,0.13788417197282607
pct_other_housing_units,-0.03943359136682657,0.01610308797510998,-2.448821705984454,0.014332437473828398,-0.07099506383792216,-0.007872118895730987
