,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11127635847262189,0.021591538945441625,5.153702047538135,2.5539362044804116e-07,0.06895771976876236,0.15359499717648142
log_median_household_income,-0.021246218739250998,0.041487067797129254,-0.5121166635141459,0.6085693629302088,-0.10255937744579582,0.06006693996729382
pct_black,0.05315936577956547,0.029433936127227608,1.8060569795961083,0.07090943973484756,-0.004530088953052999,0.11084882051218393
pct_hispanic,0.02847736465428821,0.025602010194733897,1.112309714654584,0.26600500839044305,-0.021701653259217527,0.07865638256779395
pct_asian,-0.0074020016296684685,0.016837904363787678,-0.4396034963583433,0.6602243079649714,-0.04040368775782213,0.025599684498485195
poverty_rate,0.004598146875018031,0.031616974903445325,0.14543285336627723,0.884369127161239,-0.05736998523584155,0.06656627898587762
wind_ws50m_mean_2023,0.09888851740814644,0.0309198018303581,3.1982261060630206,0.0013827581625076473,0.03828681941152893,0.15949021540476396
pct_multifamily_units,-0.017051991797173795,0.0430940980000011,-0.3956920457454141,0.6923322241709997,-0.10151487182341554,0.06741088822906793
pct_mobile_home_units,0.051915641925113776,0.042854234253518704,1.211447196045769,0.22572406049450722,-0.03207711379682561,0.13590839764705315
pct_other_housing_units,-0.0390302152714245,0.0161258945010237,-2.420344202856269,0.015505822148268915,-0.07063638771192346,-0.007424042830925542
owner_occupied_rate,0.04579238295904714,0.05091908737352031,0.899316647667585,0.3684840224689554,-0.054007194418700874,0.14559196033679517
