,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11959072243449989,0.02489139981552356,4.8044996794401635,1.5513894968003615e-06,0.07080447527128678,0.168376969597713
log_median_household_income_c,-0.004253457476325915,0.034395544992025066,-0.12366303477127981,0.9015820809204595,-0.07166748688932206,0.06316057193667024
pct_black_c,0.028669630839147676,0.022631043740588618,1.2668276005197627,0.20521694078355268,-0.01568639982495664,0.07302566150325199
pct_hispanic_c,0.04987844797553946,0.024731942322035252,2.016762263394881,0.04372032878420749,0.0014047317566284537,0.09835216419445048
pct_asian_c,-0.051628086805065115,0.018627887893117347,-2.7715480735816924,0.005579043351732373,-0.08813807618362482,-0.015118097426505411
poverty_rate,-0.008809296426413753,0.03081422816742742,-0.28588405260546923,0.7749669284070676,-0.06920407384597117,0.05158548099314367
wind_ws50m_mean_2023,0.10106681738788961,0.03160158094523923,3.198157002430453,0.0013830895726199646,0.03912885688069348,0.16300477789508575
log_median_household_income_c:pct_black_c,-0.016458279291674573,0.027746732924403238,-0.5931609799436792,0.5530734235372894,-0.07084087651215665,0.0379243179288075
log_median_household_income_c:pct_hispanic_c,0.0577875046747643,0.020372245639057433,2.8365800068685,0.004559955196143529,0.017858636938008557,0.09771637241152005
log_median_household_income_c:pct_asian_c,0.042199029128677595,0.017299295902088244,2.439349518472809,0.01471372934727229,0.008293032202683293,0.0761050260546719
