,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.18618061027795246,0.05449412683893843,3.4165261667229485,0.0006342556809256852,0.0793740843046756,0.2929871362512293
log_median_household_income_c,0.009835499118447184,0.036561045668159486,0.2690158046276227,0.7879175205148824,-0.06182283362826957,0.08149383186516393
pct_black_c,0.0368548486329556,0.0241318264295859,1.5272299732676315,0.1267038355198828,-0.010442662050204568,0.08415235931611577
pct_hispanic_c,0.0765158493555779,0.0334852449043922,2.2850616614585806,0.022309212424211054,0.010885975329465822,0.14214572338168996
pct_asian_c,-0.03523527956606147,0.016728485445967792,-2.1063042246035804,0.03517793458775892,-0.0680225085560608,-0.0024480505760621357
poverty_rate,-0.010333062943946765,0.030733166664018333,-0.3362186219503528,0.7367060112096806,-0.0705689627362897,0.049902836848396165
total_population,-2.204349131407062e-06,1.2546801229682306e-06,-1.7569012938470514,0.07893463508036726,-4.66347698454308e-06,2.547787217289564e-07
wind_ws50m_mean_2023,0.09748359667338573,0.03119764994263697,3.124709612827522,0.0017798066447732937,0.036337326383529184,0.15862986696324227
log_median_household_income_c:pct_black_c,-0.019285076526732302,0.02840056124089333,-0.6790385712154221,0.4971134229216113,-0.07494915369960742,0.036379000646142814
log_median_household_income_c:pct_hispanic_c,0.06710310960025134,0.023335437112490243,2.875588285609381,0.004032753498527394,0.021366493296271112,0.11283972590423158
log_median_household_income_c:pct_asian_c,0.03980130690974164,0.016787065191597988,2.370950875300252,0.017742389074074102,0.006899263728083603,0.07270335009139967
