,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.3963654571107994,0.20720122386378825,1.9129494011645682,0.05575453038243784,-0.009741479214846749,0.8024723934364455
C(county_geoid)[T.06005],-0.4494222687638052,0.2253274427416287,-1.9945296644542956,0.046094201462125256,-0.8910559412659087,-0.007788596261701752
C(county_geoid)[T.06007],-0.44572952944746447,0.22190168436239255,-2.008680243812542,0.04457105520512845,-0.8806488389065288,-0.01081021998840015
C(county_geoid)[T.06009],-0.4432762222019426,0.21976080792012123,-2.017084967957821,0.043686647057241505,-0.8739994909388049,-0.012552953465080341
C(county_geoid)[T.06011],-0.42534811838819064,0.22496200199968402,-1.8907553924986322,0.05865700433393021,-0.8662655401975989,0.01556930342121765
C(county_geoid)[T.06013],-0.1552836005109431,0.2830027264321147,-0.5487000159632446,0.5832113352339434,-0.7099587518445296,0.3993915508226434
C(county_geoid)[T.06015],-0.46037979614430624,0.2280138784639872,-2.019086729481772,0.04347820590710787,-0.9072787859090142,-0.013480806379598254
C(county_geoid)[T.06017],-0.43190603969956376,0.22159704316963957,-1.9490604816821764,0.05128820230310823,-0.8662282633926249,0.0024161839934974116
C(county_geoid)[T.06019],-0.4144284229487552,0.211517784721654,-1.9593076936491212,0.05007676328833165,-0.8289956630928935,0.00013881719538311188
C(county_geoid)[T.06021],-0.4287091493687295,0.2236381539501594,-1.916976785026909,0.05524088099641127,-0.867031876680066,0.009613577942606921
C(county_geoid)[T.06023],-0.46144665315486166,0.22795833206543317,-2.0242587712144164,0.04294353333632248,-0.9082367739789328,-0.014656532330790506
C(county_geoid)[T.06025],-0.44158923941366995,0.2183668555514728,-2.022235646973356,0.043152013268890364,-0.8695804117118171,-0.01359806711552286
C(county_geoid)[T.06027],-0.48373167452885685,0.23672535131098718,-2.0434299573321844,0.04100989445566758,-0.9477048373259833,-0.01975851173173032
C(county_geoid)[T.06029],0.2531010803635482,0.4832846389648802,0.5237101698610802,0.6004801410843424,-0.6941194062890599,1.2003215670161562
C(county_geoid)[T.06031],-0.42317276733351983,0.21343971148305307,-1.9826337113799901,0.04740835895116435,-0.841506914710924,-0.00483861995611562
C(county_geoid)[T.06033],-0.4632882786780188,0.2259664908368174,-2.0502521279253934,0.0403398335080855,-0.906174462431081,-0.020402094924956538
C(county_geoid)[T.06035],-0.4571703066638281,0.2148238898901368,-2.1281166954831225,0.033327409401615195,-0.8782173938672944,-0.03612321946036173
C(county_geoid)[T.06037],-0.37892751405961045,0.2007738921048178,-1.8873346035538534,0.059115334992910065,-0.772437111620984,0.014582083501763154
C(county_geoid)[T.06039],-0.42842891411039213,0.21855112407705904,-1.9603143928892912,0.04995905478192158,-0.8567812460821724,-7.658213861178043e-05
C(county_geoid)[T.06041],-0.3587619802097763,0.21563705311771275,-1.6637306762578228,0.09616626304957412,-0.7814028380528439,0.06387887763329131
C(county_geoid)[T.06043],-0.4640843415012759,0.2241816133227006,-2.070126691582172,0.03844048194312592,-0.9034722296098538,-0.024696453392697992
C(county_geoid)[T.06045],-0.4548047809202631,0.22318102776844842,-2.0378290460787984,0.04156703246893683,-0.8922315573790558,-0.017378004461470475
C(county_geoid)[T.06047],-0.42406810049321897,0.21866294931235622,-1.9393687948818665,0.0524564474337827,-0.8526396058987445,0.004503404912306608
C(county_geoid)[T.06049],-0.472515114359348,0.23027804874022603,-2.051932943432167,0.040176179727027396,-0.9238517963203502,-0.021178432398345826
C(county_geoid)[T.06051],-0.4307346919230074,0.2230271985846026,-1.9313101480742203,0.05344470916528804,-0.867859968721691,0.006390584875676231
C(county_geoid)[T.06053],0.0037568577158811345,0.31173426144760835,0.012051475184137022,0.9903845467711944,-0.6072310674686243,0.6147447829003865
C(county_geoid)[T.06055],-0.3939649738040083,0.21252572300326725,-1.8537284251372796,0.0637780229001777,-0.8105077366787479,0.022577789070731213
C(county_geoid)[T.06057],-0.44894489441428387,0.22732616066689956,-1.974893224331192,0.048280266490763946,-0.8944959820651728,-0.003393806763394902
C(county_geoid)[T.06059],-0.35749384857174304,0.21060362843094385,-1.697472409355777,0.08960738305955541,-0.7702693753098488,0.0552816781663627
C(county_geoid)[T.06061],-0.4146987311519835,0.21844918720644158,-1.898376169100047,0.05764654658491144,-0.8428512705286569,0.01345380822468989
C(county_geoid)[T.06063],-0.46402264993419357,0.23120101639857016,-2.007009558877801,0.04474864518119015,-0.9171683152644455,-0.010876984603941597
C(county_geoid)[T.06065],0.19310517532573773,0.30903646893600395,0.6248620947248994,0.5320615722550923,-0.4125951736982612,0.7988055243497367
C(county_geoid)[T.06067],-0.40511423001227254,0.19956737951369075,-2.0299621661589278,0.042360385159852056,-0.796259106348143,-0.013969353676402063
C(county_geoid)[T.06071],-0.3068892199836665,0.21400549079818001,-1.4340249815042427,0.1515651340107299,-0.7263322744419172,0.11255383447458428
C(county_geoid)[T.06073],-0.3047127153957404,0.22158938785426607,-1.3751232328695384,0.16909324272685788,-0.7390199349463792,0.12959450415489837
C(county_geoid)[T.06075],-0.32081563665056584,0.20036997797998393,-1.601116294391238,0.10935116385948503,-0.713533577074418,0.07190230377328638
C(county_geoid)[T.06077],-0.24696700242720865,0.23501728324084137,-1.0508461293636921,0.29332926549785154,-0.7075924133237066,0.21365840846928924
C(county_geoid)[T.06079],-0.4279283546342325,0.22111183498938466,-1.9353480317088267,0.0529476019124825,-0.8612995877689897,0.005442878500524773
C(county_geoid)[T.06081],-0.3244480875757053,0.21196683353611226,-1.5306549716440894,0.1258546879088343,-0.7398954472234822,0.09099927207207165
C(county_geoid)[T.06083],-0.1279252201975976,0.34095298162872345,-0.37519900716662513,0.7075124685207249,-0.7961807846114424,0.540330344216247
C(county_geoid)[T.06085],-0.298224638425936,0.20918915094094886,-1.4256219172194096,0.15397750627908072,-0.7082278402267089,0.11177856337483694
C(county_geoid)[T.06087],-0.3988426480853432,0.21716756809975038,-1.836566350930195,0.0662739386002223,-0.8244832601710035,0.026797964000317087
C(county_geoid)[T.06089],0.16701104180925436,0.6261598686486268,0.26672268564527496,0.7896826858665138,-1.060239749306385,1.3942618329248937
C(county_geoid)[T.06091],-0.502934481364067,0.24533262463834446,-2.050010601343644,0.040363396300738145,-0.9837775898879061,-0.022091372840227996
C(county_geoid)[T.06093],-0.4805209054785257,0.23301283108514523,-2.0622079189404747,0.039187945107256414,-0.9372176623411255,-0.02382414861592591
C(county_geoid)[T.06095],1.1358068820516998,0.8137535044568263,1.3957628149446084,0.16278593150069687,-0.459120678976934,2.7307344430803333
C(county_geoid)[T.06097],-0.4154935491488896,0.21891836759582217,-1.8979382758599506,0.05770421348675996,-0.8445656651910014,0.013578566893222288
C(county_geoid)[T.06099],-0.41795356022535113,0.21634696886164215,-1.9318669562347328,0.053375929215137716,-0.8419858273585783,0.006078706907876041
C(county_geoid)[T.06101],-0.4093189520536011,0.21693946100258177,-1.8867888311418357,0.05918873395372176,-0.834512482444193,0.01587457833699074
C(county_geoid)[T.06103],-0.10106556006483813,0.3902812997392777,-0.25895568179247547,0.7956694351523836,-0.866002851393304,0.6638717312636278
C(county_geoid)[T.06105],-0.47357012365658013,0.23430422814454807,-2.021176175124006,0.04326153108102993,-0.9327979722453504,-0.014342275067809829
C(county_geoid)[T.06107],-0.42076948039432344,0.22041475398262791,-1.9089896333685836,0.056263428989801724,-0.8527744598615306,0.011235499072883737
C(county_geoid)[T.06109],-0.4626265301412129,0.2280518458145871,-2.0286024368219406,0.04249880017108719,-0.9095999345456851,-0.015653125736740714
C(county_geoid)[T.06111],-0.3996561643895834,0.21656252016366398,-1.845453978313279,0.0649715272567659,-0.8241109043115941,0.02479857553242726
C(county_geoid)[T.06113],-0.24172632360342056,0.25799368389472077,-0.9369466723148989,0.34878598976884345,-0.7473846522758847,0.2639320050690435
C(county_geoid)[T.06115],-0.45074451423752054,0.22226814939856226,-2.027931196877262,0.042567270618761255,-0.8863820819690706,-0.015106946505970442
log_median_household_income,-0.038844862218564126,0.035661928325327774,-1.0892529945156042,0.2760423350961745,-0.10874095735545536,0.031051232918327114
