,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.07494352097980748,0.029174262748772706,2.5688231310304555,0.010204452541787852,0.01776301671670446,0.1321240252429105
log_median_household_income,-0.05022170182088462,0.03265217551447379,-1.5380813385197796,0.12402872822950047,-0.11421878984613386,0.013775386204364623
pct_black,0.007851547098565049,0.015912602469946184,0.49341690734712373,0.6217180383445581,-0.023336580642832578,0.03903967483996268
pct_hispanic,0.012469783077564689,0.024825089067806082,0.5023056732447287,0.6154525191334039,-0.03618649740833425,0.06112606356346363
pct_asian,-0.01725896506441697,0.015564335405952786,-1.1088790246589038,0.26748237360491356,-0.047764501903386034,0.013246571774552091
poverty_rate,-0.026504297739917124,0.026719097981733577,-0.9919607974055373,0.32121664931919736,-0.07887276748351178,0.025864172003677535
wind_ws50m_mean_2023,0.08502344553304605,0.028590011809445984,2.9738863383384393,0.002940539757815909,0.028988052068957104,0.141058838997135
plant_capacity_mw,-0.018681226126681542,0.007924924596729383,-2.357274936646247,0.01840961102988293,-0.03421379291646674,-0.0031486593368963405
storage_capacity_mw,0.006363613683830574,0.014340400938408333,0.4437542374974129,0.6572202775315535,-0.02174305567931415,0.0344702830469753
wind_turbine_count,0.006521352438960747,0.0018839414697184524,3.461547263427105,0.0005370798063533051,0.0028288950093311237,0.01021380986859037
PV_system_size_DC,0.0011879118700637646,0.0012776262266063856,0.9297804360349434,0.35248477777561094,-0.001316189519788561,0.0036920132599160905
