,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11338074994890569,0.016680516219734414,6.797196708742563,1.0667440349933841e-11,0.08068753891469002,0.14607396098312136
log_median_household_income,-0.03156112588292883,0.025360746519522557,-1.2444872574485635,0.21332028627346378,-0.08126727568224257,0.01814502391638491
pct_black,0.015197596411313984,0.015196551034762376,1.0000687903820555,0.31727721849077595,-0.014587096306045166,0.044982289128673136
pct_hispanic,0.026037887147438446,0.019800916915488038,1.3149839100164056,0.18851531006697309,-0.012771196867788048,0.06484697116266494
pct_asian,-0.009952579024321498,0.014897765922747734,-0.6680584911811965,0.5040962566739967,-0.03915166368301518,0.019246505634372184
poverty_rate,-0.034831021839803064,0.019125883827903995,-1.8211457391049204,0.06858470606848092,-0.07231706531499196,0.0026550216353858347
wind_ws50m_mean_2023,0.07164318118545088,0.022730521456886494,3.151849433869705,0.0016223990869551619,0.027092177780138428,0.11619418459076333
plant_mw_per_100k,-0.005735290311940626,0.0031878116706042727,-1.7991308472916971,0.07199798510623992,-0.011983286375821463,0.0005127057519402111
storage_mw_per_100k,0.0044487631062302465,0.010274506777130217,0.43299042987957764,0.6650217223998964,-0.015688900135857685,0.024586426348318174
wind_mw_per_100k_ctrl,1.867456162919583,0.35884550568063106,5.204067302940114,1.9497334121950343e-07,1.1641318957714826,2.5707804300676833
turbines_per_100k,-1.4227667377049826,0.32321512649237977,-4.401918787481397,1.0729772195768046e-05,-2.056256744888605,-0.7892767305213604
