,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.12378814670887697,0.024988173267020748,4.953869391975598,7.275204846021014e-07,0.07481222706606973,0.17276406635168423
log_median_household_income,0.06449310395835262,0.0742726945797146,0.8683285872863298,0.38521447664192954,-0.08107870245263127,0.2100649103693365
pct_black,0.048172645667025685,0.03297069878917207,1.4610744520478922,0.14399501051798536,-0.016448736504869943,0.11279402783892131
pct_hispanic,-0.018970884928791135,0.05384751932800896,-0.35230750024399676,0.7246076639083266,-0.12451008346851314,0.08656831361093087
pct_asian,-0.006108140975342829,0.018477264887126626,-0.3305760356122003,0.7409647502211789,-0.04232291468691757,0.030106632736231907
poverty_rate,0.014580510506860525,0.04221392963862788,0.3453957172828237,0.7297968964166928,-0.06815727123075804,0.0973182922444791
wind_ws50m_mean_2023,0.11064055732005673,0.035541643402205295,3.1129837207581597,0.0018520623329120359,0.040980216300368716,0.18030089833974475
pct_bachelors_plus,-0.06519077014675181,0.07982072136350492,-0.8167148709402404,0.4140913909407459,-0.22163650923922834,0.09125496894572471
log_median_housing_value,-0.10252612837654757,0.06406919122493153,-1.6002407150201565,0.10954519305986558,-0.22809943569602303,0.023047178942927904
pct_multifamily_units,-0.00026239591262373907,0.06113263858452179,-0.00429223928001981,0.9965752990629295,-0.12008016581819012,0.11955537399294264
pct_mobile_home_units,0.011471241446624598,0.03708098802559048,0.3093564130143463,0.7570504226147784,-0.061206159594693756,0.08414864248794296
pct_other_housing_units,-0.04966044547546656,0.01965645626145561,-2.5264190459826597,0.011523194230403646,-0.0881863918116064,-0.01113449913932673
owner_occupied_rate,0.035349107218001836,0.08449557779127069,0.4183545238938384,0.6756879306225216,-0.13025918210579118,0.20095739654179484
