,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.018568291283831403,0.034981357158144426,0.5308053429684703,0.5955536771752232,-0.049993908876464085,0.08713049144412689
C(utility)[T.San Diego Gas & Electric],0.16187839252292371,0.11605193988430747,1.394878816194721,0.16305238619791762,-0.06557922998632637,0.3893360150321738
C(utility)[T.Southern California Edison],0.23302695952580182,0.09058912979738756,2.572350126852879,0.010101067995902288,0.05547552773209796,0.4105783913195057
log_median_household_income,0.08437662778272595,0.07673475579259717,1.0995881450484268,0.2715116095378469,-0.06602072993324079,0.2347739854986927
pct_black,0.03305975137233526,0.029854740998771796,1.107353481100215,0.268141130068676,-0.025454465753028822,0.09157396849769933
pct_hispanic,-0.05124425908084061,0.055762964004589986,-0.9189658404209391,0.3581134397632134,-0.1605376602010404,0.05804914203935918
pct_asian,-0.007977438971624107,0.018764829234844405,-0.4251271819095909,0.6707439637022037,-0.04475582844796344,0.028800950504715223
poverty_rate,0.027766638083649126,0.045521358922776145,0.609969446007825,0.5418820476161177,-0.06145358593231315,0.1169868620996114
wind_ws50m_mean_2023,0.1647933922385632,0.04964670895445402,3.319321576577109,0.000902364492203434,0.06748763073689112,0.2620991537402353
pct_bachelors_plus,-0.08581236121065604,0.07990315088224702,-1.0739546596493723,0.2828430033133096,-0.24241965919113,0.07079493676981795
log_median_housing_value,-0.1124103655587291,0.06625153368704112,-1.6967209557703675,0.08974942886246581,-0.24226098550587183,0.017440254388413623
pct_multifamily_units,-0.030217188326540585,0.06080453337458138,-0.49695617496790995,0.6192199563953557,-0.1493918838374838,0.08895750718440262
pct_mobile_home_units,0.0030123211997455795,0.035943579501925865,0.0838069341308697,0.9332099347791316,-0.06743580009948125,0.0734604424989724
pct_other_housing_units,-0.04980719453123005,0.02063597077227225,-2.4136104417318736,0.015795340079218588,-0.09025295403090486,-0.009361435031555239
owner_occupied_rate,0.003354762396980772,0.0836746799011621,0.040092921788807225,0.9680190448604391,-0.1606445966272145,0.16735412142117603
