feature,VIF
log_median_household_income,7.83507930430875
pct_bachelors_plus,7.82282798956504
owner_occupied_rate,6.134065344932889
log_median_housing_value,5.707566986178676
pct_multifamily_units,5.395418967540725
pct_hispanic,3.14606170165353
poverty_rate,2.838066440182029
PV_system_size_DC,1.7972504431202747
storage_capacity_mw,1.667321097662949
pct_mobile_home_units,1.6224701674056494
pct_asian,1.395542604904017
log_kwh,1.2560630697076145
pct_black,1.1601017998775254
pct_other_housing_units,1.1285650785790362
plant_capacity_mw,1.0917163890582826
wind_turbine_count,1.0212715295258965
