,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.09390693617895032,0.030863878287596642,-3.0426162034435245,0.0023453124565857614,-0.1543990260458675,-0.03341484631203315
log_median_household_income_c,0.006808418352636817,0.01697832170932108,0.4010065581982113,0.6884152954732587,-0.026468480715567025,0.04008531742084066
pct_black_c,0.13067628581671542,0.07473507123299059,1.7485269453925467,0.08037282394275584,-0.015801762181981566,0.27715433381541243
pct_hispanic_c,0.07018481391784182,0.024585258503240295,2.8547519200821734,0.004307045784851775,0.021998592700883723,0.1183710351347999
pct_asian_c,-0.07802857499284052,0.022999480585025458,-3.3926233553136633,0.0006922675408563591,-0.12310672860261863,-0.03295042138306241
poverty_rate,-0.058718251289718255,0.07167166043200206,-0.8192673496859578,0.4126338965751605,-0.19919212444862675,0.08175562186919025
wind_ws50m_mean_2023,0.03027657149969676,0.007936281760419082,3.8149567283127785,0.00013620679901112535,0.01472174507811322,0.0458313979212803
log_median_household_income_c:pct_black_c,0.0024538256093813854,0.17159533041530334,0.014300072172375073,0.9885905820525249,-0.33386684191986365,0.33877449313862645
log_median_household_income_c:pct_hispanic_c,0.12740105842204003,0.04076550822420753,3.1252169780723165,0.0017767395153264673,0.04750213049112188,0.20729998635295815
log_median_household_income_c:pct_asian_c,0.14867407800167176,0.05166566163478454,2.8776187761345753,0.004006890362354605,0.04741124196006126,0.24993691404328228
