,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.23788779802683674,0.16750311273126084,1.4201992676309239,0.1555496768216233,-0.0904122702247871,0.5661878662784605
log_median_household_income,-0.031865289674482,0.014797527618723385,-2.1534198479320756,0.031285697104510644,-0.06086791086741659,-0.0028626684815474188
pct_black,0.11406054210968265,0.06537669863042664,1.7446665937425956,0.08104292152185943,-0.014075432634082632,0.24219651685344795
pct_hispanic,0.022602987302750323,0.02174850886381398,1.039289058587279,0.29867032189379816,-0.020023306787775204,0.06522928139327586
pct_asian,-0.045105415316159164,0.022759177565080436,-1.981856118797751,0.047495346412288385,-0.08971258366146882,-0.0004982469708495058
poverty_rate,-0.10449381503565715,0.06626278460153243,-1.5769608184145127,0.1148045409068038,-0.23436648636999596,0.025378856298681682
wind_ws50m_mean_2023,0.03210648816718914,0.007962198048663636,4.032364928749524,5.521835287854798e-05,0.016500866754033318,0.04771210958034496
plant_capacity_mw,0.0011293169757446795,0.005329855336135813,0.21188510841711572,0.8321966685947103,-0.009317007525890137,0.011575641477379496
storage_capacity_mw,0.0061979412125886995,0.004547313043001349,1.3629897818730095,0.17288573097590676,-0.0027146285781231823,0.015110511003300582
PV_system_size_DC,0.0009084682512427462,0.0005516664004198683,1.6467710387134675,0.09960511629389744,-0.0001727780250610478,0.0019897145275465404
