,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.0893841496495163,0.3630182548857733,-0.24622494446633755,0.8055081069628539,-0.8008868549562134,0.6221185556571809
log_median_household_income,0.04789735101889321,0.033793553879750235,1.4173516993604585,0.1563801268227585,-0.01833679749503106,0.11413149953281748
pct_black,0.15150559581741443,0.08373454075720668,1.8093560249731826,0.07039571031695886,-0.012611088328711939,0.3156222799635408
pct_hispanic,0.0001845232941503558,0.037469331484363814,0.00492464868841758,0.9960707147264188,-0.07325401693999545,0.07362306352829615
pct_asian,-0.018939822035137194,0.02632465003754503,-0.7194709904262595,0.471850770109152,-0.07053518801434644,0.03265554394407205
poverty_rate,-0.024670636499859264,0.09469751286217094,-0.26052042713905854,0.7944623605881993,-0.21027435113523285,0.16093307813551433
wind_ws50m_mean_2023,0.03329778858151547,0.008971410770353277,3.7115443082319444,0.0002059985988505005,0.015714146581108306,0.05088143058192263
pct_bachelors_plus,-0.08741565506504759,0.06182204273389517,-1.413988461062614,0.15736529050333625,-0.20858463227417826,0.03375332214408308
log_median_housing_value,-0.04019576736851555,0.01730078246380615,-2.3233496781204273,0.020160375093876276,-0.07410467790193775,-0.006286856835093356
pct_multifamily_units,-0.010893715362807192,0.045408419184453847,-0.2399051884751979,0.8104037584851913,-0.09989258155923439,0.07810515083361999
pct_mobile_home_units,-0.056112680642366096,0.0613043853553158,-0.9153126700013554,0.3600275095449882,-0.1762670680331498,0.06404170674841761
pct_other_housing_units,-1.2303535309403315,0.4256152369176184,-2.8907647664373384,0.0038430565901711304,-2.064544066570346,-0.39616299531031707
owner_occupied_rate,0.007360358204328218,0.06639176831855356,0.110862511885699,0.9117253734808115,-0.12276511656996415,0.1374858329786206
