,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.06560313113122446,0.011316136777108996,5.797308076368488,6.738783094095062e-09,0.04342391060396167,0.08778235165848725
log_median_household_income,-0.004655075628829846,0.0009893147189150356,-4.705353655240252,2.534262456496675e-06,-0.006594096847278682,-0.002716054410381009
pct_black,-0.002737794056463808,0.001810898656211777,-1.5118427787621234,0.13057386374178612,-0.006287090202290872,0.0008115020893632559
pct_hispanic,-0.0028897974192657262,0.0011425838002080482,-2.5291776574633174,0.011433013944057603,-0.005129220516992409,-0.0006503743215390428
pct_asian,-0.006592669146213927,0.0008502286929884104,-7.753995131641355,8.904574302407408e-15,-0.008259086763093774,-0.00492625152933408
poverty_rate,0.013778112412422147,0.0038355736241718645,3.5921908330978702,0.00032790957388271753,0.0062605262489935235,0.02129569857585077
cdd65_2023,4.9229526751215176e-06,3.100582563873167e-07,15.877508738138207,9.071025793676173e-57,4.3152496594930905e-06,5.530655690749945e-06
hdd65_2023,2.3625912483779568e-06,1.6915344265035322e-07,13.967148473954062,2.4733276645703014e-44,2.031056592922303e-06,2.6941259038336107e-06
ghi_mean_kwh_m2_day_2023,0.0007339352725135189,0.0006032391818439979,1.2166571645263586,0.22373468326236945,-0.00044839179796412536,0.0019162623429911632
pct_bachelors_plus,-0.01620945819110806,0.0016236703108162972,-9.983220166758352,1.8051145261724738e-23,-0.019391793523074956,-0.013027122859141161
