,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1428548243157033,0.009218917995602996,15.495834151452321,3.7012564595039507e-54,0.12478607706789323,0.16092357156351333
log_median_household_income,-0.003454769172418835,0.0007863745020076236,-4.39328737592428,1.1164938277826547e-05,-0.004996034874714398,-0.0019135034701232726
pct_black,-0.00046487817667431944,0.0017864167186856894,-0.26022941445394765,0.7946868161965601,-0.003966190606678492,0.0030364342533298534
pct_hispanic,0.001527267358957539,0.0008077949841665353,1.8906620973059631,0.05866946513060962,-5.598171690097335e-05,0.003110516434816051
pct_asian,-0.007113928041232777,0.0008545986784815954,-8.324290945397223,8.483500586699403e-17,-0.00878891067229223,-0.005438945410173325
poverty_rate,0.011211388163149056,0.003156230145301056,3.552145327501034,0.0003821037579807868,0.005025290751439365,0.017397485574858748
cdd65_2023,2.97639922480528e-06,3.358227172782807e-07,8.863007389517595,7.788441598768701e-19,2.318198793749473e-06,3.634599655861087e-06
hdd65_2023,1.7518505902133556e-06,1.6424024103534324e-07,10.666390764954922,1.461952800422115e-26,1.4299456329719053e-06,2.0737555474548056e-06
ghi_mean_kwh_m2_day_2023,0.0009045956837234505,0.0005704358659965452,1.5857973483892562,0.11278528740379408,-0.0002134380691196946,0.0020226294365665956
log_median_housing_value,-0.007109452320831225,0.0004828117702084602,-14.725101498171073,4.448013454856091e-49,-0.008055746001751836,-0.006163158639910614
