,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1315098155943755,0.008675644035990313,15.15850754696897,6.656477293544001e-52,0.11450586574114477,0.14851376544760622
log_median_household_income,-0.010446455436774625,0.0006309847744425749,-16.555796367675025,1.4540469611837913e-61,-0.011683162869475202,-0.009209748004074049
pct_black,0.005699163872408603,0.001813854538933225,3.1420181442776713,0.0016778763776276427,0.0021440743029049764,0.00925425344191223
pct_hispanic,0.002410647970152239,0.0008645400625098191,2.788358891262902,0.005297582024996984,0.0007161805844409868,0.004105115355863491
pct_asian,-0.00318157521708463,0.0006502866795932048,-4.89257325565227,9.952605266651783e-07,-0.004456113688713449,-0.001907036745455811
poverty_rate,0.016313392792058734,0.003572847257881286,4.56593624484598,4.972698963129697e-06,0.009310740844348724,0.023316044739768744
cdd65_2023,3.983592258949954e-06,3.253440653936888e-07,12.244244425142755,1.803488112038552e-34,3.34592960819448e-06,4.6212549097054284e-06
hdd65_2023,1.8677878043436861e-06,1.6105958659487446e-07,11.596874447727698,4.274042936837531e-31,1.552116815252822e-06,2.18345879343455e-06
ghi_mean_kwh_m2_day_2023,0.00043331097888141945,0.0005333035986173153,0.8125033845727939,0.4165028452781818,-0.0006119448672341236,0.0014785668249969624
pct_multifamily_units,-0.014940677380879345,0.0015680880297135635,-9.527958314692638,1.6040680976224664e-21,-0.018014073443706303,-0.011867281318052387
pct_mobile_home_units,0.0005376998813233075,0.002042254980997646,0.2632873398896743,0.7923291168644369,-0.0034650463286796107,0.004540446091326226
owner_occupied_rate,-0.0010870927611924001,0.0020711687629861365,-0.5248692335553907,0.5996740985129623,-0.005146508942549604,0.002972323420164803
