,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.0005174684531749628,0.0031338235279912154,0.1651236735422242,0.8688466399820602,-0.005624712795592069,0.006659649701941995
log_median_household_income_c,-0.011995606239342952,0.0007746714271076342,-15.484766598570134,4.3965525047336576e-54,-0.013513934336326161,-0.010477278142359743
pct_black_c,0.0012762940629564138,0.001735152125867419,0.7355516809907272,0.46200357738369635,-0.002124541611441838,0.0046771297373546655
pct_hispanic_c,0.00094174929344319,0.0007479669429859443,1.2590787631384495,0.20800188427577515,-0.0005242389764357848,0.0024077375633221646
pct_asian_c,-0.011491347945104684,0.0013278745693316631,-8.653940824311766,4.975101195849727e-18,-0.01409393427698138,-0.00888876161322799
poverty_rate,-0.0032719565323944028,0.0035022050502596085,-0.9342561287643228,0.35017178875140786,-0.010136152297377526,0.00359223923258872
cdd65_2023,4.903275714056855e-06,3.559285235562477e-07,13.776012287708621,3.5536665618531325e-43,4.205668626816094e-06,5.600882801297617e-06
hdd65_2023,2.8080607103287274e-06,1.794835217027658e-07,15.645228507266669,3.580816156843112e-55,2.4562794719728934e-06,3.1598419486845614e-06
ghi_mean_kwh_m2_day_2023,0.0015491667812329165,0.000626040723636612,2.4745463397875325,0.01334055128968899,0.0003221495100497636,0.0027761840524160694
log_median_household_income_c:pct_black_c,0.00756630462378007,0.00752565119977925,1.005401980894625,0.31470332641070375,-0.007183700687997906,0.022316309935558047
log_median_household_income_c:pct_hispanic_c,-0.010439130434658779,0.0022315249402861163,-4.678025437313876,2.8965062098449307e-06,-0.01481283894822246,-0.0060654219210950966
log_median_household_income_c:pct_asian_c,0.013297911673203053,0.002773346746991567,4.79489688320733,1.6275853018787345e-06,0.007862251932458264,0.018733571413947842
