,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.12186552083140874,0.01004225290084785,12.135277017482785,6.867719538140743e-34,0.10218306682210407,0.1415479748407134
log_median_household_income,-0.010373335187111987,0.0007583279411423607,-13.679220590877058,1.351333769504647e-42,-0.011859630640221424,-0.008887039734002549
pct_black,-0.0021526675418141353,0.0019010259337674715,-1.132371475621039,0.2574782918276589,-0.005878609905675005,0.0015732748220467353
pct_hispanic,0.002948800873696599,0.000837669499119857,3.520243815484409,0.0004311502706278328,0.001306998824473973,0.0045906029229192255
pct_asian,-0.00778095605249885,0.0009132103980613647,-8.520441805105241,1.5894581832931085e-17,-0.009570815543006612,-0.005991096561991089
poverty_rate,0.005071050194623715,0.0036197389819574268,1.400943609442654,0.1612309365704887,-0.002023507843448522,0.012165608232695952
cdd65_2023,5.3426788701325474e-06,3.617888182400965e-07,14.767396339449462,2.377203838784106e-49,4.633585816372651e-06,6.051771923892444e-06
hdd65_2023,3.026742343049781e-06,1.7156674127420794e-07,17.64177789104396,1.1769884647394238e-69,2.690477709207432e-06,3.3630069768921304e-06
ghi_mean_kwh_m2_day_2023,0.0006102803986080646,0.0006188278637039944,0.9861876531467589,0.3240410369406054,-0.0006025999268816257,0.0018231607240977547
plant_capacity_mw,-3.983768811195811e-05,9.931277802070641e-05,-0.4011335591040669,0.6883217942733022,-0.00023448715623716374,0.00015481178001324755
storage_capacity_mw,0.00017431924788907673,9.839338418353514e-05,1.7716561874110923,0.07645164659558508,-1.8528241427665128e-05,0.00036716673720581857
wind_capacity_mw,8.925261217976691e-06,7.081859602388748e-06,1.2602990907877012,0.2075614878653762,-4.954928546274403e-06,2.2805450982227785e-05
wind_turbine_count,-3.2840435318934193e-06,4.607185598185334e-06,-0.7128090375145576,0.4759639324484093,-1.23139613744283e-05,5.74587431064146e-06
PV_system_size_DC,3.879118050833322e-05,8.679825981862879e-06,4.469119610161561,7.854220328620127e-06,2.177903419180696e-05,5.5803326824859474e-05
