,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.0044051663164345585,0.003885396247084707,-1.1337753053475166,0.2568888121082511,-0.012020403026387672,0.003210070393518556
pct_black,0.010116798515651657,0.0023422115054577797,4.3193360172971875,1.564993450251474e-05,0.005526148320779068,0.014707448710524245
pct_hispanic,0.00913535608967674,0.00100586504362307,9.082089240094968,1.065103897090312e-19,0.007163896830867713,0.011106815348485769
pct_asian,-0.011808161329576664,0.001171219391452764,-10.081938034623887,6.640325428684878e-24,-0.014103709154819,-0.009512613504334327
log_kwh,-2.702950778287265e-05,2.1330106809663904e-05,-1.267199832802832,0.2050838455587486,-6.883574891620645e-05,1.4776733350461156e-05
cdd65_2023,7.770785707913685e-06,4.911243347948711e-07,15.822440790190788,2.178797349961304e-56,6.808199699784546e-06,8.733371716042825e-06
hdd65_2023,4.126908870914029e-06,2.4211887002381944e-07,17.044969979035617,3.80939699699792e-65,3.652364605689808e-06,4.6014531361382495e-06
ghi_mean_kwh_m2_day_2023,0.0009897224755946333,0.0007405594916429125,1.336452353610321,0.18140146404521162,-0.00046174745643476627,0.0024411924076240326
y_pv,0.0013161322450858956,0.0008484105425047436,1.5512917145045224,0.120831791518607,-0.00034672186232749037,0.002978986352499282
y_storage,-0.000143802016418486,0.00029323573781486463,-0.4903973079477642,0.6238527812735422,-0.0007185335015156507,0.0004309294686786787
y_chargers,-0.0010957930859465147,0.0002461023302756265,-4.452591264451915,8.484016060015114e-06,-0.0015781447897981241,-0.0006134413820949054
