feature,VIF
pct_bachelors_plus,8.42792191005984
log_median_household_income,7.937218957815875
log_median_housing_value,7.266937248552193
owner_occupied_rate,6.186514989607395
pct_multifamily_units,5.491770572376871
pct_hispanic,3.5036553734857754
cdd65_2023,2.8962365430658097
poverty_rate,2.8262537518783972
hdd65_2023,1.7915587238852235
ghi_mean_kwh_m2_day_2023,1.6212301878220445
pct_mobile_home_units,1.6031761611322282
pct_asian,1.395112724136329
pct_black,1.1663337585692375
pct_other_housing_units,1.1177254566123496
