n_pc,k,explained_variance,silhouette,calinski_harabasz,davies_bouldin,inertia,silhouette_rank,calinski_rank,davies_rank,explained_rank,complexity_rank,composite_rank
2,6,0.3365836069007227,0.34784584047561345,960.1435553592996,0.8557438459855238,3778.658304467123,2.0,1.0,1.0,43.0,9.0,6.35
2,3,0.3365836069007227,0.3531911976766121,925.8669804892729,0.940000150528641,7229.364065560698,1.0,5.0,6.0,43.0,2.0,7.3
2,4,0.3365836069007227,0.3450195949291355,934.1923895016131,0.8852126371893038,5586.635281663932,3.0,4.0,4.0,43.0,4.0,7.55
2,7,0.3365836069007227,0.33719868397505176,937.1987132895719,0.8810726342796986,3333.3311493920214,4.0,3.0,3.0,43.0,12.0,8.25
2,8,0.3365836069007227,0.334479930039261,944.0099617934782,0.8755512324543724,2920.9135249735373,6.0,2.0,2.0,43.0,15.0,8.799999999999999
2,5,0.3365836069007227,0.3294621595999238,905.1871175341272,0.9105171857168439,4671.63227584347,7.0,6.0,5.0,43.0,6.0,9.85
2,2,0.3365836069007227,0.3364061478117678,828.1721273689525,1.1497984608338219,10569.626960821231,5.0,7.0,14.0,43.0,1.0,10.700000000000001
3,4,0.408919100071353,0.29431747766920596,635.844284058321,1.079764949461945,8630.670406732746,8.0,8.0,13.0,36.0,6.0,11.6
3,3,0.408919100071353,0.29247239834273586,635.6204967229348,1.150889025303096,10699.502477617842,9.0,9.0,15.0,36.0,4.0,12.4
3,6,0.408919100071353,0.2850220415575565,609.5161130124424,1.013582598751764,6406.012149299575,11.0,13.0,7.0,36.0,12.0,13.3
3,7,0.408919100071353,0.28991503319219225,613.4628317110103,1.0305457722879363,5602.512559332705,10.0,12.0,10.0,36.0,15.0,13.6
3,5,0.408919100071353,0.2797312590336713,626.6009453719682,1.0264107408926835,7300.055250824311,14.0,10.0,9.0,36.0,9.0,13.7
3,8,0.408919100071353,0.28221778985834933,608.1484810181566,1.0166517225584955,5027.546452178919,13.0,14.0,8.0,36.0,19.0,15.15
3,2,0.408919100071353,0.28264462585818473,616.8498604065724,1.3562602940279163,14193.158413299308,12.0,11.0,28.0,36.0,2.0,16.35
5,8,0.5275005031034583,0.25202751609065843,352.4392041661985,1.0716235814823714,9499.8947139778,15.0,20.0,11.0,29.0,25.0,17.85
5,4,0.5275005031034583,0.2478073917884706,387.62867202296934,1.3119049376189538,14383.448653708594,16.0,17.0,24.0,29.0,12.0,18.75
5,5,0.5275005031034583,0.23936739790800504,373.3063557819119,1.228309892061678,12729.595271944101,19.0,18.0,17.0,29.0,15.0,18.95
5,7,0.5275005031034583,0.2459008592556428,350.32988926833764,1.072245724088201,10499.412871212482,18.0,21.0,12.0,29.0,22.0,19.05
5,6,0.5275005031034583,0.24695981376139903,354.0928378609036,1.2513762067860275,11607.186911010063,17.0,19.0,18.0,29.0,19.0,19.099999999999998
5,3,0.5275005031034583,0.23760303595876872,411.899748115969,1.3931266279016896,16592.995525046612,20.0,16.0,31.0,29.0,9.0,21.0
8,5,0.6687126157676906,0.21809885898032297,271.2558269636222,1.1984896690886018,18802.047799627388,22.0,25.0,16.0,22.0,25.0,21.849999999999998
5,2,0.5275005031034583,0.23750213589801203,437.349034121187,1.569151047164374,20107.53424574124,21.0,15.0,41.0,29.0,6.0,22.800000000000004
8,7,0.6687126157676906,0.20586602223410516,270.014989243965,1.2670916910918346,15444.48929636025,24.0,26.0,21.0,22.0,31.0,24.4
8,6,0.6687126157676906,0.21068560060479433,267.58911705263887,1.286684908486001,17050.850839586095,23.0,29.0,22.0,22.0,28.0,24.7
8,4,0.6687126157676906,0.19998728878623265,269.41465212693873,1.300965728820331,21178.253348194725,27.0,27.0,23.0,22.0,22.0,25.2
10,5,0.7309598693224343,0.20551385895655547,235.14173066434319,1.2658639182835132,21827.779331666326,25.0,35.0,20.0,15.0,31.0,26.1
8,2,0.6687126157676906,0.20059263562330473,324.54952346142204,1.788705543234862,27167.293810654573,26.0,22.0,45.0,22.0,15.0,27.3
8,3,0.6687126157676906,0.19373641253113702,290.1913334500913,1.6379427729408036,23634.87920940201,29.0,24.0,42.0,22.0,19.0,28.649999999999995
10,6,0.7309598693224343,0.1990452420091189,230.3209817129498,1.3587675203513108,20006.655541659507,28.0,36.0,29.0,15.0,34.0,29.5
10,4,0.7309598693224343,0.1889483909175834,236.96925170255903,1.3620406302565942,24223.192708063525,32.0,33.0,30.0,15.0,28.0,29.75
8,8,0.6687126157676906,0.18076695257404723,262.24598580169555,1.2556571882035688,14404.566194403655,37.0,30.0,19.0,22.0,34.0,29.85
