,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,21.24273195028999,4.011903278722259,5.2949262418548475,1.1906445822510161e-07,13.379546014536205,29.105917886043777
log_median_household_income,-1.8271567928436234,0.31616449121958384,-5.779133468769644,7.508634383369816e-09,-2.446827808824438,-1.207485776862809
pct_black,1.5644569097084589,0.9331159963174681,1.6765942453913238,0.09362185283616695,-0.2644168364719883,3.393330655888906
pct_hispanic,1.6720865250280645,0.3254629841054932,5.137562815702835,2.783244484038735e-07,1.034190797880366,2.309982252175763
pct_asian,1.586743744645989,0.6526759890622251,2.431135465739818,0.015051585839026022,0.30752231250996953,2.8659651767820087
poverty_rate,1.890302698265821,1.2994973660464533,1.454641423411895,0.14576855690116527,-0.6566653371898907,4.437270733721533
cdd65_2023,0.0009029420771152465,0.00012179823571408402,7.413424930348442,1.2307872419882154e-13,0.0006642219217351216,0.0011416622324953714
hdd65_2023,0.00032900573747123317,7.802029358359064e-05,4.216925140364125,2.4765614409416015e-05,0.00017608877198415404,0.0004819227029583123
ghi_mean_kwh_m2_day_2023,0.0877560052738777,0.24994618567660173,0.35109959784472444,0.7255136296393077,-0.40212951672542285,0.5776415272731782
pct_multifamily_units,0.7040596582695676,0.708574570103326,0.9936281768719134,0.32040392115684113,-0.6847209794939032,2.0928402960330383
pct_mobile_home_units,2.551169082666951,0.7493639552771465,3.4044459500636384,0.0006629841940903059,1.08244271901126,4.019895446322642
pct_other_housing_units,9.241170651401816,7.015410336914168,1.3172673026374508,0.18774904120087954,-4.508780945719959,22.99112224852359
owner_occupied_rate,-0.4852162245317425,0.856691594469384,-0.5663837811228611,0.5711329177654952,-2.1643008955499288,1.1938684464864435
