,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,25.814661978637172,3.8057861615739994,6.783003795452535,1.1770254348631149e-11,18.3554581690912,33.273865788183144
C(utility)[T.San Diego Gas & Electric],1.0069965134086092,0.2869410708639879,3.509419235024507,0.00044908642635319143,0.4446023488298374,1.569390677987381
C(utility)[T.Southern California Edison],0.6064693717439166,0.15570801392675993,3.894914310763609,9.823345080152186e-05,0.30128727234320596,0.9116514711446272
log_median_household_income,-2.1770824368179147,0.2905618884138635,-7.492663434637976,6.748980872579362e-14,-2.746573273389033,-1.6075916002467963
pct_black,1.1228267575610027,0.9418920017081989,1.1920971358973893,0.23322315991744402,-0.7232476431134061,2.9689011582354112
pct_hispanic,1.6312967689423854,0.30683404816535415,5.316544166777974,1.0575656114778584e-07,1.029913085307663,2.2326804525771076
pct_asian,2.204716575365515,0.6861583503181358,3.2131308674496246,0.001312964498866692,0.8598709210505515,3.549562229680479
poverty_rate,3.3806710798854107,1.389822558342996,2.432447983803045,0.014997145453438984,0.6566689206318208,6.104673239139
cdd65_2023,0.0009459201948647946,0.0001280827415450761,7.385227575972032,1.521928473466375e-13,0.0006948826343952934,0.0011969577553342958
hdd65_2023,0.0004245240608921957,8.242424391007424e-05,5.15047564591986,2.5982667121835436e-07,0.00026297551137550535,0.0005860726104088861
ghi_mean_kwh_m2_day_2023,-0.17152832213201813,0.27887826138330735,-0.6150652305460952,0.5385116427910088,-0.7181196705144479,0.3750630262504116
