,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,25.325337891497583,4.61857889856781,5.483361537755867,4.173189294401459e-08,16.273089590548004,34.37758619244716
C(utility)[T.San Diego Gas & Electric],1.0404068633381218,0.26714397730935435,3.894554815785064,9.83792434727858e-05,0.5168142891250018,1.5639994375512418
C(utility)[T.Southern California Edison],0.6197957594111301,0.13905350272091185,4.45724665170855,8.301906249205025e-06,0.34725590215400043,0.8923356166682597
log_median_household_income,-2.1507045366317588,0.3950955257752251,-5.443505168558456,5.2242217114349274e-08,-2.9250775376041167,-1.3763315356594008
pct_black,1.1471730021643354,0.8149993056388425,1.4075754350061886,0.15925682562889132,-0.45019628431294767,2.744542288641618
pct_hispanic,1.6445744836558078,0.42614795195278254,3.859163175886922,0.00011377595267453442,0.8093398457428487,2.479809121568767
pct_asian,2.2243390130853737,0.7723016460868177,2.880142784048043,0.003974951080196327,0.7106556015542118,3.7380224246165357
poverty_rate,3.473893937707578,1.778126087100251,1.9536825666692552,0.050738769261967194,-0.011169152980045283,6.958957028395202
cdd65_2023,0.0009538304895995108,0.0001833157825810624,5.203209871892652,1.9587544854093711e-07,0.0005945381579428535,0.001313122821256168
hdd65_2023,0.000464659315368089,0.00012316119683433894,3.772773627663676,0.0001614427560284252,0.00022326780527993613,0.0007060508254562418
ghi_mean_kwh_m2_day_2023,-0.16324164379673067,0.22306655837174644,-0.7318068875419868,0.46428644457521084,-0.6004440643606554,0.27396077676719405
