,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,26.57581814028086,3.852458651800856,6.8984045105475245,5.258982093798941e-12,19.025137930821447,34.12649834974027
log_median_household_income,-2.331114071144094,0.2956155383427465,-7.885627677802655,3.1295842017125195e-15,-2.9105098795662965,-1.7517182627218915
pct_black,1.3480879087497402,0.9404428535129211,1.433460740027005,0.15172621087630073,-0.49514621365366307,3.1913220311531436
pct_hispanic,1.4885037175572293,0.32238704164511134,4.617132593051918,3.890786890115076e-06,0.8566367268503966,2.120370708264062
pct_asian,1.7327795986633345,0.6775180787082905,2.5575400171858633,0.010541542839012258,0.4048685655203115,3.0606906318063576
poverty_rate,2.1745916589581036,1.4079068582814125,1.544556478411192,0.12245358016981811,-0.5848550768604026,4.93403839477661
cdd65_2023,0.0009486483590399082,0.00012949426056723556,7.325794632784936,2.374872423740988e-13,0.0006948442721234812,0.0012024524459563353
hdd65_2023,0.000285459853773247,8.391790283656669e-05,3.401656191637569,0.000669788421306738,0.00012098378655544463,0.0004499359209910493
ghi_mean_kwh_m2_day_2023,0.09871005225892654,0.2572367462993301,0.3837323153825928,0.7011768586732279,-0.4054647059880275,0.6028848105058806
log_kwh,0.034012224238367465,0.022221867067872467,1.53057455228598,0.1258745750389102,-0.009541834883899265,0.0775662833606342
