,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.16600682221787016,1.3618547342599332,-0.12189759894478212,0.9029801172124938,-2.8351930535427052,2.503179409106965
pct_black,2.585548446475261,0.9023466456627077,2.8653605118422805,0.00416534735988054,0.8169815194058281,4.354115373544694
pct_hispanic,3.311551489170277,0.30577162083666143,10.830146630707947,2.4775825857903743e-27,2.7122501248359834,3.9108528535045703
pct_asian,-0.013513921383090929,0.6395720117049917,-0.021129632216183258,0.9831422470778066,-1.2670520298447043,1.2400241870785227
log_kwh,0.04702685197907868,0.008796968829743212,5.345801819835642,9.001765959595765e-08,0.029785109899660517,0.06426859405849684
cdd65_2023,0.0016589675313156455,0.00012112828901836928,13.695954469100613,1.0734049758146184e-42,0.0014215604473306832,0.0018963746153006077
hdd65_2023,0.0007719044520820801,8.725523717650225e-05,8.846511419373613,9.029769488475888e-19,0.0006008873297536353,0.0009429215744105249
ghi_mean_kwh_m2_day_2023,-0.4076593912750238,0.2719584026630826,-1.4989770026707183,0.13387959821921858,-0.9406880657877076,0.12536928323765995
y_pv,0.30025778627865096,0.2297804364479759,1.3067160586868833,0.1913091626928205,-0.15010359351127656,0.7506191660685785
y_storage,-0.19784817607590116,0.09303298943748475,-2.126645368187904,0.03344955993109618,-0.3801894847474665,-0.015506867404335795
y_chargers,0.9857269325131334,0.12094647569057533,8.15010877237116,3.635970800405658e-16,0.7486761961025565,1.2227776689237102
