outcome,term,beta_restricted,beta_full,r2_restricted,r2_full,rmax,delta
y_pv,log_median_household_income,0.4295141363511845,0.4667049605539857,0.10925936025267335,0.4924327767559613,0.6401626097827497,-32.54870980348885
y_pv,pct_black,-2.4128715599086776,-0.26511642955211956,0.10925936025267335,0.4924327767559613,0.6401626097827497,0.3201688245162251
y_pv,pct_hispanic,-0.24309819319291642,0.19832107950870848,0.10925936025267335,0.4924327767559613,0.6401626097827497,-1.1653187953680513
y_pv,pct_asian,-2.1405293880907914,-0.8062293329469525,0.10925936025267335,0.4924327767559613,0.6401626097827497,1.5672282642958804
y_storage,log_median_household_income,0.54668871780015,0.21675786984038165,0.2378169487022871,0.4223826595897201,0.5490974574666362,0.9569200092149885
y_storage,pct_black,-1.6165926970727602,-0.5310439527050472,0.2378169487022871,0.4223826595897201,0.5490974574666362,0.7125327375178974
y_storage,pct_hispanic,-0.8191860144056953,-0.4730915514033198,0.2378169487022871,0.4223826595897201,0.5490974574666362,1.9910135960243938
y_storage,pct_asian,-1.7569544270816748,-0.8235779322547103,0.2378169487022871,0.4223826595897201,0.5490974574666362,1.285202394237349
y_chargers,log_median_household_income,0.1304177258943723,0.11917648370864886,0.07127804904120927,0.26838424803522776,0.3488995224457961,25.95363953892535
y_chargers,pct_black,-0.09520145425866469,-0.1265076467613218,0.07127804904120927,0.26838424803522776,0.3488995224457961,-9.892556320874084
y_chargers,pct_hispanic,-0.4060258510480316,-0.15436030520818378,0.07127804904120927,0.26838424803522776,0.3488995224457961,1.501529508576837
y_chargers,pct_asian,0.32232872125203926,0.09113740088920305,0.07127804904120927,0.26838424803522776,0.3488995224457961,0.965044009728341
y_wind_mw,log_median_household_income,-0.15793688620519586,0.1024760096725462,0.022258246417536376,0.10348266972152798,0.13452747063798637,-1.029573785640586
y_wind_mw,pct_black,0.6238130347015505,-0.21269292501005777,0.022258246417536376,0.10348266972152798,0.13452747063798637,-0.6652452185488035
y_wind_mw,pct_hispanic,0.05254849021648848,-0.4201941373418365,0.022258246417536376,0.10348266972152798,0.13452747063798637,-2.325535541914583
y_wind_mw,pct_asian,-0.1897902106321236,-0.31310491131291884,0.022258246417536376,0.10348266972152798,0.13452747063798637,-6.643130503729343
any_turbines,log_median_household_income,-0.025289311748516154,0.04496236830133042,0.02795226006313889,0.10732293203875165,0.13951981165037716,-1.5777519931419501
any_turbines,pct_black,0.1444473409185707,-0.029475114725032128,0.02795226006313889,0.10732293203875165,0.13951981165037716,-0.4177785314600879
any_turbines,pct_hispanic,0.04585637493083576,-0.07563148288360057,0.02795226006313889,0.10732293203875165,0.13951981165037716,-1.5346735734716124
any_turbines,pct_asian,-0.04279927656037287,-0.057640120776378395,0.02795226006313889,0.10732293203875165,0.13951981165037716,-9.574421644175809
y_level1_chargers,log_median_household_income,-0.015534227443504089,-0.024737189523948194,0.009971613416605019,0.06581079246852417,0.08555403020908142,-7.602271462200153
y_level1_chargers,pct_black,-0.016249905125848695,-0.012432310615046183,0.009971613416605019,0.06581079246852417,0.08555403020908142,9.2104893387702
y_level1_chargers,pct_hispanic,-0.00775750477089712,-0.0009048371363763483,0.009971613416605019,0.06581079246852417,0.08555403020908142,0.3734490833518335
y_level1_chargers,pct_asian,0.010145548601221634,0.002627167344720576,0.009971613416605019,0.06581079246852417,0.08555403020908142,0.988289182604612
y_level2_chargers,log_median_household_income,0.1677620867180158,-0.021471303076566327,0.11145612836407959,0.32337132583042905,0.42038272357955775,-0.24785630689949778
y_level2_chargers,pct_black,-0.005581583473740048,0.22170632686365405,0.11145612836407959,0.32337132583042905,0.42038272357955775,-2.1307921700058
y_level2_chargers,pct_hispanic,-0.47502807429461413,-0.045469130598889684,0.11145612836407959,0.32337132583042905,0.42038272357955775,0.23122416815778893
y_level2_chargers,pct_asian,0.24999595185245613,0.09623689817963124,0.11145612836407959,0.32337132583042905,0.42038272357955775,1.3672258487601159
y_dc_fast_chargers,log_median_household_income,0.04306749129406751,0.3395138797647993,0.00489690051913938,0.10450645034191164,0.13585838544448514,-3.6387146183222545
y_dc_fast_chargers,pct_black,-0.18635420517381934,-0.5806607229150116,0.00489690051913938,0.10450645034191164,0.13585838544448514,-4.678699154135356
y_dc_fast_chargers,pct_hispanic,0.003283683909792459,-0.2153865914247956,0.00489690051913938,0.10450645034191164,0.13585838544448514,-3.1294321324274343
y_dc_fast_chargers,pct_asian,0.12384956592135295,-0.02393981518919555,0.00489690051913938,0.10450645034191164,0.13585838544448514,-0.5146526209054159
energy_burden_pct,log_median_household_income,-0.009888251656428523,-0.00755701003946287,0.7713600010977923,0.8634196087861189,1.0,2.1849599417588847
energy_burden_pct,pct_black,0.0010496259969281177,0.003374800104117851,0.7713600010977923,0.8634196087861189,1.0,-0.9783029052103002
energy_burden_pct,pct_hispanic,0.001997106436638355,0.0003977170388384019,0.7713600010977923,0.8634196087861189,1.0,0.16761031872509505
energy_burden_pct,pct_asian,-0.006950738193918659,-0.00409365768643972,0.7713600010977923,0.8634196087861189,1.0,0.9657613329915749
log_energy_gap_per_capita,log_median_household_income,-2.260803365756507,-0.45319410025064344,0.33315344582768447,0.3891499919516137,0.5058949895370979,0.12025486322190572
log_energy_gap_per_capita,pct_black,1.442440318502425,0.44887228830526216,0.33315344582768447,0.3891499919516137,0.5058949895370979,0.21669462829459177
