zip_code,cluster
90001,2
90002,2
90003,2
90004,2
90005,2
90006,2
90007,2
90008,2
90010,5
90011,2
90012,2
90013,2
90014,2
90015,2
90016,2
90017,2
90018,2
90019,2
90020,2
90021,2
90022,2
90023,2
90024,5
90025,5
90026,2
90027,2
90028,2
90029,2
90031,2
90032,2
90033,2
90034,5
90035,5
90036,5
90037,2
90038,2
90039,5
90040,2
90041,4
90042,2
90043,2
90044,2
90045,5
90046,5
90047,2
90048,5
90049,5
90056,5
90057,2
90058,2
90059,2
90061,2
90062,2
90063,2
90064,5
90065,2
90066,5
90067,5
90068,5
90069,5
90077,6
90094,5
90201,2
90210,6
90211,5
90212,5
90220,2
90221,2
90222,2
90230,5
90232,5
90240,4
90241,2
90242,2
90245,5
90247,2
90248,4
90249,2
90250,2
90254,5
90255,2
90260,2
90262,2
90265,6
90266,5
90270,2
90272,6
90274,6
90275,6
90277,5
90278,5
90280,2
90290,6
90291,5
90292,5
90293,5
90301,2
90302,2
90303,2
90304,2
90305,2
90401,5
90402,6
90403,5
90404,5
90405,5
90501,2
90502,4
90503,5
90504,4
90505,5
90601,4
90602,2
90603,4
90604,4
90605,4
90606,4
90620,4
90621,2
90623,4
90630,4
90631,4
90638,4
90640,2
90650,2
90660,2
90670,4
90680,2
90701,4
90703,5
90704,4
90706,2
90710,2
90712,4
90713,4
90715,4
90716,2
90717,4
90720,4
90723,2
90731,2
90732,4
90740,4
90744,2
90745,4
90746,4
90755,4
90802,2
90803,5
90804,2
90805,2
90806,2
90807,4
90808,4
90810,2
90813,2
90814,5
90815,4
91001,4
91006,4
91007,5
91010,4
91011,6
91016,4
91020,2
91024,4
91030,5
91040,4
91042,4
91101,2
91103,2
91104,4
91105,5
91106,5
91107,5
91108,6
91201,2
91202,2
91203,2
91204,2
91205,2
91206,2
91207,4
91208,4
91214,4
91301,6
91302,6
91303,2
91304,2
91306,2
91307,4
91311,4
91316,2
91320,4
91321,4
91324,2
91325,2
91326,4
91331,2
91335,2
91340,1
91342,2
91343,2
91344,4
91345,4
91350,4
91351,4
91352,2
91354,4
91355,4
91356,5
91360,4
91361,6
91362,4
91364,4
91367,5
91377,6
91381,4
91384,3
91387,4
91390,3
91401,2
91402,2
91403,5
91405,2
91406,2
91411,2
91423,5
91436,5
91501,2
91502,2
91504,2
91505,4
91506,4
91601,2
91602,5
91604,5
91605,2
91606,2
91607,2
91701,4
91702,2
91706,2
91708,4
91709,4
91710,4
91711,4
91722,4
91723,2
91724,4
91730,2
91731,2
91732,2
91733,2
91737,4
91739,4
91740,4
91741,4
91744,2
91745,4
91746,1
91748,4
91750,4
91752,4
91754,4
91755,2
91761,2
91762,2
91763,2
91764,2
91765,4
91766,2
91767,2
91768,2
91770,2
91773,4
91775,4
91776,2
91780,4
91784,4
91786,2
91789,4
91790,2
91791,4
91792,2
91801,2
91803,4
91901,3
91902,4
91905,3
91906,3
91910,2
91911,2
91913,4
91914,4
91915,4
91916,3
91932,2
91934,1
91935,3
91941,4
91942,4
91945,4
91950,2
91962,3
91977,4
91978,4
92003,4
92004,3
92007,6
92008,5
92009,5
92010,4
92011,6
92014,6
92019,4
92020,2
92021,2
92024,5
92025,2
92026,4
92027,4
92028,4
92029,4
92036,3
92037,5
92040,4
92054,2
92056,4
92057,4
92058,2
92059,3
92061,3
92064,4
92065,4
92067,6
92069,4
92071,4
92075,6
92078,4
92081,4
92082,3
92083,2
92084,4
92086,3
92091,6
92101,5
92102,2
92103,5
92104,5
92105,2
92106,6
92107,5
92108,5
92109,5
92110,5
92111,4
92113,2
92114,4
92115,2
92116,5
92117,4
92118,5
92119,4
92120,4
92121,6
92122,5
92123,5
92124,4
92126,5
92127,5
92128,5
92129,6
92130,5
92131,6
92139,4
92154,2
92173,2
92201,2
92203,4
92210,3
92211,4
92220,1
92223,4
92225,1
92227,1
92230,1
92231,1
92233,1
92234,1
92236,1
92240,1
92241,1
92242,1
92243,1
92249,1
92250,1
92251,1
92252,1
92253,4
92254,1
92256,1
92257,1
92260,1
92262,4
92264,4
92270,3
92273,1
92274,1
92275,1
92276,1
92277,1
92281,1
92282,1
92283,1
92284,1
92285,1
92301,1
92307,1
92308,1
92310,2
92311,1
92313,4
92314,3
92315,3
92316,1
92320,3
92324,2
92325,3
92335,2
92336,4
92337,4
92339,3
92342,3
92344,3
92345,1
92346,4
92352,3
92354,2
92356,1
92359,1
92363,1
92365,1
92371,1
92372,3
92373,4
92374,4
92376,2
92377,4
92382,3
92386,1
92391,1
92392,1
92394,1
92395,1
92397,3
92398,4
92399,4
92401,2
92404,2
92405,1
92407,2
92408,2
92410,1
92411,1
92501,2
92503,2
92504,4
92505,2
92506,4
92507,2
92508,4
92509,1
92518,1
92530,1
92532,4
92536,3
92539,1
92543,1
92544,1
92545,1
92548,1
92549,3
92551,1
92553,2
92555,4
92557,4
92561,3
92562,4
92563,4
92567,1
92570,1
92571,1
92582,1
92583,1
92584,4
92585,3
92586,1
92587,4
92590,4
92591,4
92592,4
92595,4
92596,4
92602,5
92603,6
92604,5
92606,5
92610,6
92612,5
92614,5
92617,5
92618,5
92620,5
92624,4
92625,6
92626,5
92627,5
92629,4
92630,4
92637,4
92646,4
92647,5
92648,5
92649,5
92651,6
92653,4
92655,2
92656,5
92657,6
92660,5
92661,6
92662,6
92663,5
92672,4
92673,6
92675,4
92676,3
92677,5
92679,6
92683,2
92688,4
92691,4
92692,4
92694,6
92701,2
92703,2
92704,2
92705,4
92706,2
92707,2
92708,4
92780,2
92782,5
92801,2
92802,2
92804,2
92805,2
92806,2
92807,4
92808,4
92821,4
92823,6
92831,2
92832,2
92833,4
92835,4
92840,2
92841,4
92843,2
92844,2
92845,4
92860,4
92861,6
92865,4
92866,2
92867,4
92868,2
92869,4
92870,4
92879,2
92880,4
92881,4
92882,4
92883,4
92886,4
92887,6
93001,4
93003,4
93004,4
93010,4
93012,4
93013,4
93015,3
93021,4
93022,3
93023,3
93030,2
93033,2
93035,4
93036,2
93040,3
93041,4
93060,1
93063,4
93065,4
93066,6
93101,2
93103,4
93105,6
93106,4
93108,6
93109,6
93110,4
93111,6
93117,4
93201,1
93202,1
93203,1
93204,1
93205,1
93206,1
93210,1
93212,1
93215,1
93219,1
93221,3
93222,3
93223,1
93225,3
93230,1
93234,1
93235,1
93239,1
93240,1
93241,1
93242,1
93245,1
93247,1
93249,1
93250,1
93252,1
93256,1
93257,1
93258,1
93261,1
93263,1
93265,3
93266,1
93267,1
93268,1
93270,1
93271,3
93272,1
93274,1
93277,1
93280,1
93283,1
93285,1
93286,1
93291,1
93292,1
93301,2
93304,1
93305,1
93306,1
93307,1
93308,1
93309,2
93311,4
93312,4
93313,1
93314,4
93401,4
93402,4
93405,4
93420,4
93422,4
93426,3
93427,4
93428,6
93430,3
93432,3
93433,4
93434,1
93436,4
93437,4
93442,4
93444,4
93445,4
93446,4
93449,6
93451,3
93453,3
93454,1
93455,4
93458,2
93460,3
93461,3
93463,6
93465,3
93501,1
93505,1
93510,3
93513,3
93514,3
93516,1
93518,3
93523,3
93527,3
93532,3
93534,2
93535,1
93536,3
93543,1
93544,3
93545,3
93546,3
93550,1
93551,4
93552,1
93553,3
93555,1
93560,1
93561,3
93562,1
93591,1
93601,3
93602,3
93606,1
93609,1
93610,1
93611,4
93612,2
93614,3
93615,1
93616,1
93618,1
93619,3
93620,1
93622,1
93625,1
93626,3
93630,1
93631,1
93635,1
93636,3
93637,1
93638,1
93640,1
93643,3
93644,3
93645,3
93646,1
93647,1
93648,1
93650,1
93651,3
93653,3
93654,1
93656,1
93657,1
93660,1
93662,1
93667,3
93675,1
93701,2
93702,1
93703,1
93704,2
93705,1
93706,1
93710,2
93711,4
93720,4
93721,2
93722,2
93723,3
93725,1
93726,2
93727,2
93728,1
93730,4
93737,3
93901,4
93905,2
93906,4
93907,4
93908,6
93920,4
93921,6
