,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.9104705681868834,1.2573741431024796,-3.110029412994036,0.0018706871490019776,-6.374878603759655,-1.4460625326141114
log_median_household_income,0.3966610521221109,0.10587048292816108,3.74666329227257,0.00017920236631011088,0.18915871855705255,0.6041633856871692
pct_black,-0.5350491780727477,0.3795633783423078,-1.409643839744243,0.15864487525014215,-1.2789797294740213,0.20888137332852597
pct_hispanic,-0.3537364349876491,0.09830351936715179,-3.5984106903282496,0.0003201677576137967,-0.5464077925008023,-0.16106507747449592
pct_asian,-0.04647468344049748,0.13165302667761689,-0.3530088491949492,0.7240818063950574,-0.3045098741843175,0.21156050730332254
poverty_rate,0.756421081607138,0.46276224946427813,1.634578193192762,0.10213750212915679,-0.15057626074758712,1.663418423961863
cdd65_2023,7.028176181198289e-06,3.639514787008968e-05,0.19310750450265918,0.8468747755334637,-6.430500285618714e-05,7.836135521858373e-05
hdd65_2023,9.285545643871261e-05,2.643885504985156e-05,3.5120831164447095,0.00044460892746884015,4.1036252748528613e-05,0.0001446746601288966
pct_multifamily_units,0.9431331458026265,0.2570560442991165,3.6689786788486267,0.00024352138536768946,0.4393125569680255,1.4469537346372277
pct_mobile_home_units,0.6203890273614703,0.30936971505131944,2.005332122630548,0.04492755290157553,0.014035527953465077,1.2267425267694754
owner_occupied_rate,-0.7183512550697709,0.3269600447670314,-2.1970612818505613,0.02801606983387373,-1.3591811671967562,-0.07752134294278568
