,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.192237253631438,1.868506388709932,-1.70844331757166,0.08755411541818621,-6.854442480385904,0.4699679731230275
log_median_household_income,0.32809234543949034,0.15220511795152172,2.1555933851316995,0.031115429533083112,0.02977579599183694,0.6264088948871438
pct_black,-1.0655528982608753,0.4390689764897292,-2.4268462481220214,0.01523070902049019,-1.9261122789096081,-0.20499351761214235
pct_hispanic,-0.8119369098170256,0.1476063235881535,-5.500691908582902,3.783037436990921e-08,-1.1012399879401715,-0.5226338316938797
pct_asian,-0.18416044482074934,0.21418984386397588,-0.8598000796793283,0.38989925535384784,-0.6039648246483995,0.2356439350069009
poverty_rate,3.3094300713741065,0.7919862018655169,4.178646122342499,2.932495610737147e-05,1.7571656394650244,4.861694503283188
cdd65_2023,-2.823685861972577e-05,5.6378128665122395e-05,-0.5008477451858763,0.6164782806435489,-0.0001387359603191309,8.226224307967936e-05
hdd65_2023,0.00015697504558763535,3.446746170034894e-05,4.554296656723236,5.25611388462938e-06,8.942006201643773e-05,0.00022453002915883297
plant_capacity_mw,0.09413949992594071,0.027804772969992324,3.385731652171325,0.000709887650582571,0.039643146306442965,0.14863585354543846
storage_capacity_mw,-0.014610323422078951,0.020668131009092077,-0.7069010456558338,0.479627974129064,-0.055119115827654906,0.025898468983497007
wind_capacity_mw,-0.0006676369872119364,0.000963214056310534,-0.6931345974842112,0.48822508743626003,-0.0025555018469833185,0.0012202278725594459
wind_turbine_count,0.0009925736901503794,0.0006925583974297006,1.4331985487926056,0.15180110428276042,-0.0003648158260026108,0.0023499632063033694
PV_system_size_DC,-0.005129862752506919,0.001674824125440826,-3.062926234810895,0.0021918408203142506,-0.008412457718809732,-0.0018472677862041067
