,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.9795055005520511,1.8949724239699692,-0.5168969680835703,0.6052280842321949,-4.693583203229757,2.7345722021256544
log_median_household_income,0.12752823745459738,0.1540906762467984,0.827618130835785,0.40788679696091024,-0.17448393834254908,0.42954041325174386
pct_black,-0.8558219861252135,0.4373724333301256,-1.956735086409173,0.05037862249355997,-1.7130562032829055,0.0014122310324785614
pct_hispanic,-0.7663504516992565,0.15534280310615664,-4.9332858450838915,8.085768812348097e-07,-1.0708167510448203,-0.4618841523536927
pct_asian,0.17197015170468774,0.21917585178050264,0.78462180166139,0.432675343590484,-0.25760662406598656,0.601546927475362
poverty_rate,3.1212446766024637,0.7845201211652594,3.978539992022681,6.933974936837075e-05,1.583613493971556,4.658875859233372
cdd65_2023,-0.00011043486999418382,4.761730508446402e-05,-2.319217137515309,0.02038326570003438,-0.0002037630730005893,-1.7106666987778344e-05
hdd65_2023,0.00011959660313153991,3.403130668380897e-05,3.514311226504865,0.00044089591768866536,5.2896467684437106e-05,0.0001862967385786427
plant_mw_per_100k,0.0049292832863206725,0.0009294785040333499,5.30327841357352,1.1374124682598925e-07,0.0031075388940111394,0.006751027678630206
storage_mw_per_100k,0.016470264715318095,0.003185236481373487,5.170813787808951,2.3307673695380983e-07,0.010227315929582974,0.022713213501053216
wind_mw_per_100k_ctrl,-0.0001733479465113337,4.522653195026717e-05,-3.8328816965659396,0.00012665086969839586,-0.00026199032027950743,-8.470557274316001e-05
turbines_per_100k,0.0001600321801422971,3.188483843877722e-05,5.01906824616905,5.192270283955346e-07,9.753904514941542e-05,0.0002225253151351788
