,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.8213306243146243,1.8170549230598576,0.45201199693597155,0.6512603398254817,-2.740031582813896,4.382692831443144
C(utility)[T.San Diego Gas & Electric],-0.008721280775010117,0.08429363531705016,-0.10346309946423742,0.9175954346436155,-0.17393377012238195,0.15649120857236173
C(utility)[T.Southern California Edison],-0.0219839400894839,0.050024621512729295,-0.43946239720953917,0.6603265228044188,-0.12003039659468091,0.07606251641571311
log_median_household_income,0.02594784274373537,0.16938203329777826,0.15319123426814904,0.8782474701227629,-0.30603484214807425,0.35793052763554495
pct_black,-0.3528832616313149,0.4078767706514892,-0.8651712650064998,0.3869447944839882,-1.1523070422387374,0.4465405189761077
pct_hispanic,-0.04521044741546393,0.1556885563380093,-0.29039030535622223,0.7715176595364293,-0.3503544106429973,0.25993351581206947
pct_asian,-0.10638348397672434,0.134717521507683,-0.7896781560864541,0.4297157514993538,-0.37042497421828313,0.15765800626483448
poverty_rate,0.05832285092601708,0.5093944744566868,0.11449447108397363,0.9088458290145441,-0.9400719729327977,1.056717674784832
cdd65_2023,7.301347541039902e-06,4.590642345796912e-05,0.15904849454727943,0.8736306669492808,-8.267358909562426e-05,9.727628417770406e-05
hdd65_2023,8.917890400613776e-05,3.58950399562605e-05,2.484435290079234,0.012975708862934277,1.882591846824098e-05,0.00015953188954403454
pct_bachelors_plus,1.041386625489649,0.29030009289838354,3.587276239192164,0.0003341502690727601,0.47240889870018543,1.6103643522791127
log_median_housing_value,-0.045541193194012126,0.10840987694543446,-0.4200834322220863,0.6744245054115925,-0.25802064757548276,0.16693826118745853
pct_multifamily_units,0.5110647005550337,0.2899253661075407,1.7627457280349412,0.07794338455450345,-0.05717857522033576,1.0793079763304032
pct_mobile_home_units,0.5476977865144876,0.3395647888717646,1.6129404592692433,0.10675744403042918,-0.11783697009211835,1.2132325431210935
pct_other_housing_units,-3.985448392362023,2.282878238622123,-1.74579980873948,0.08084574422748775,-8.45980752115162,0.4889107364275733
owner_occupied_rate,-0.9216113439278308,0.36036425824586005,-2.557443816470438,0.010544458985333585,-1.6279123114052076,-0.21531037645045392
