,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.12218343319113072,0.07066017396445468,1.7291697194602806,0.08377872407717997,-0.016307962920535254,0.2606748293027967
log_median_household_income_c,0.019792974992917794,0.07565045005501987,0.26163724047276055,0.7936011300789194,-0.1284791825291673,0.16806513251500288
pct_black_c,-0.1962609925941373,0.12397596678723292,-1.583056762372014,0.11340852737088586,-0.43924942244564774,0.04672743725737316
pct_hispanic_c,-0.0027911481355494027,0.0596758672962866,-0.04677180679572771,0.9626950993511147,-0.11975369878246278,0.11417140251136398
pct_asian_c,0.06164636424771421,0.08078124472283273,0.7631271894760733,0.445387546176672,-0.09668196603535423,0.21997469453078267
poverty_rate,0.25826661047079746,0.3167820233491954,0.8152817755889664,0.41491103809848073,-0.362614746243352,0.8791479671849469
cdd65_2023,-1.0166082122967518e-05,2.29105947456805e-05,-0.4437284250285211,0.6572389418412597,-5.5070022688893895e-05,3.4737858442958865e-05
hdd65_2023,3.479207594928989e-05,1.7507635440049656e-05,1.987251566233847,0.046894526018531,4.77741032335499e-07,6.910641086624428e-05
log_median_household_income_c:pct_black_c,-0.4355880498155055,0.6976850274214452,-0.6243333778071507,0.5324086679902338,-1.8030255761143783,0.9318494764833672
log_median_household_income_c:pct_hispanic_c,-0.056777524061692,0.23763234235864283,-0.23893011994133959,0.8111597695129852,-0.5225283566465239,0.40897330852313984
log_median_household_income_c:pct_asian_c,0.2907529856490722,0.18903523622103927,1.5380888318043213,0.12402689631241211,-0.07974926915318625,0.6612552404513307
