,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.7163406865588835,0.7339023310552484,-0.9760708697148929,0.3290293457917298,-2.154762823597162,0.7220814504793949
C(utility)[T.San Diego Gas & Electric],0.06369896907286025,0.049665122115195186,1.282569464444574,0.1996429538758031,-0.033642881560706064,0.16104081970642659
C(utility)[T.Southern California Edison],0.046696265499870736,0.03871956743038816,1.2060120657035607,0.22781283818295506,-0.029192692160660137,0.1225852231604016
log_median_household_income,0.0660023157409379,0.05918703298265002,1.1151482413434324,0.26478690170530883,-0.050002137256840426,0.18200676873871624
pct_black,-0.2197551499410071,0.150573387070938,-1.4594554470470684,0.14443979459850528,-0.5148735656302545,0.07536326574824043
pct_hispanic,0.038079497966782,0.07657275324902098,0.4972982732244758,0.6189787292742528,-0.11200034059837152,0.18815933653193553
pct_asian,0.14415861306609012,0.06953510208974306,2.0731775568551956,0.03815575825702575,0.007872317308877885,0.28044490882330236
poverty_rate,0.4378985368294152,0.29017684123417475,1.5090747248021354,0.13127968783508964,-0.13083762113716463,1.006634694795995
cdd65_2023,-2.2315762932477332e-06,2.470414957756663e-05,-0.09033204264898823,0.9280233578774544,-5.065081973396872e-05,4.618766714747325e-05
hdd65_2023,4.148927799003094e-05,2.374560183706998e-05,1.747240532150285,0.08059562365117627,-5.0512464018543675e-06,8.802980238191625e-05
