,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.5838686887130794,0.633279870956725,-0.921975757465656,0.3565412209753803,-1.8250744279224334,0.6573370504962747
C(utility)[T.San Diego Gas & Electric],0.04159471623378932,0.03262364106867383,1.2749869380376972,0.2023138652916524,-0.0223464453053732,0.10553587777295184
C(utility)[T.Southern California Edison],0.023954063973729435,0.033307789676147656,0.7191730284907917,0.47203431555790243,-0.041328004196155003,0.08923613214361387
log_median_household_income,0.0600985938820846,0.05279137494991755,1.1384169088056393,0.25494643680843443,-0.04337059971410379,0.163567787478273
pct_black,-0.20106038941331897,0.11664166220781699,-1.723744206037596,0.08475403085807834,-0.42967384643752704,0.027553067610889076
pct_hispanic,0.01479406155362852,0.09879952253007669,0.1497381887561743,0.8809711775617307,-0.17884944429507543,0.2084375674023325
pct_asian,0.14317310942776595,0.07032149861377539,2.035979213328647,0.04175244261709463,0.005345504805882861,0.28100071404964905
poverty_rate,0.4339909946049665,0.23630318722207933,1.8365854464633133,0.06627111741363775,-0.029154741782334515,0.8971367309922675
cdd65_2023,-1.348683659266084e-06,3.454307901543767e-05,-0.0390435276097809,0.9688556850387965,-6.905187444464522e-05,6.635450712611306e-05
hdd65_2023,2.443055504348982e-05,1.9440158918016804e-05,1.2567055211080607,0.20886028815295232,-1.3671456289558263e-05,6.25325663765379e-05
