,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.011655753964239096,0.8486157222923125,-0.01373502005448843,0.9890413841158542,-1.6749120063716159,1.6516004984431378
C(county_geoid)[T.06005],-0.1598913606213757,0.12344163880537835,-1.2952789850227526,0.19522400598399958,-0.40183252687251925,0.0820498056297678
C(county_geoid)[T.06007],-0.1712578230676578,0.09624310877150334,-1.7794294599756901,0.0751693801631396,-0.35989085001997534,0.017375203884659712
C(county_geoid)[T.06009],-0.15323661952465867,0.15575576809619565,-0.9838262903369258,0.3252009304369591,-0.4585123153775749,0.15203907632825758
C(county_geoid)[T.06011],0.2794917556458068,0.27838821476933884,1.0039640358963555,0.3153959488037218,-0.2661391190224988,0.8251226303141124
C(county_geoid)[T.06013],-0.047418799034270515,0.07138418887435997,-0.6642759381595014,0.5065137184117536,-0.1873292382936209,0.09249164022507986
C(county_geoid)[T.06015],0.25753035960865944,0.2323237741888268,1.1084976580973818,0.2676469499795435,-0.1978158705538573,0.7128765897711762
C(county_geoid)[T.06017],-0.1079686687032006,0.10086110323618044,-1.0704688451639954,0.28440832512096903,-0.3056527984870906,0.08971546108068937
C(county_geoid)[T.06019],-0.06980098709668368,0.0912755242264303,-0.7647284163882313,0.44443328138409044,-0.24869772725050027,0.10909575305713289
C(county_geoid)[T.06021],-0.008698425172934886,0.13030874804158438,-0.06675242686054376,0.946778796750483,-0.2640988782049446,0.2467020278590748
C(county_geoid)[T.06023],-0.020647493928550847,0.12525590342146223,-0.16484248138848967,0.8690679660850322,-0.26614455348564414,0.22484956562854247
C(county_geoid)[T.06025],-0.12119440892497223,0.10538565924755881,-1.150008547560323,0.2501403507862441,-0.327746505537198,0.08535768768725353
C(county_geoid)[T.06027],0.9903899871516211,0.9191927018201335,1.0774563213899617,0.2812764541496443,-0.8111946032679056,2.791974577571148
C(county_geoid)[T.06029],0.14465239979324662,0.1539777423252793,0.939437074532936,0.34750638551748725,-0.15713842958508956,0.4464432291715828
C(county_geoid)[T.06031],0.4344162250019121,0.5882869784453862,0.7384427004485214,0.46024547462046184,-0.7186050653249361,1.5874375153287603
