,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.07250019933283247,0.6706127110721335,-0.10811038642098464,0.9139081292737761,-1.3868769606089792,1.2418765619433143
log_median_household_income,0.012093206567925929,0.05510180540623947,0.21947024201418547,0.8262837582295034,-0.09590434751143788,0.12009076064728973
pct_black,-0.2227942284740866,0.12923386360479022,-1.7239616789250618,0.08471476134948319,-0.4760879467224371,0.03049948977426392
pct_hispanic,-0.012801245743259885,0.06899742159879918,-0.1855322336202006,0.8528116003419688,-0.14803370710303232,0.12243121561651255
pct_asian,0.12096549171780285,0.06607989726726576,1.8305944276600135,0.06716110090350881,-0.00854872702814477,0.2504797104637505
poverty_rate,0.3045201196540241,0.274191923583825,1.1106093705233708,0.266736527583443,-0.23288617542203155,0.8419264147300798
cdd65_2023,-7.273086230639431e-06,2.2553930560238965e-05,-0.32247533134917883,0.7470926231595126,-5.1477977838525085e-05,3.693180537724622e-05
hdd65_2023,4.044202287719816e-05,1.6360898879144938e-05,2.4718704745953275,0.013440820463171365,8.37525031937234e-06,7.250879543502398e-05
plant_capacity_mw,0.04968417003169178,0.019783919940616828,2.5113410376115137,0.012027344060238795,0.010908399475058991,0.08845994058832457
storage_capacity_mw,0.026616198477464,0.009702543993435363,2.7432185306732166,0.006084018168067521,0.007599561691915259,0.04563283526301274
wind_capacity_mw,4.3420170426203405e-06,0.000839998349078916,0.005169078067095603,0.9958756907831772,-0.001642024494225159,0.0016507085283103998
wind_turbine_count,0.000876357839559082,0.0006236592172111945,1.40518702421793,0.1599656716177531,-0.00034599176480130174,0.002098707443919466
PV_system_size_DC,-0.0008827700359855634,0.0008368650442618941,-1.054853517945844,0.29149232365466937,-0.002522995382659394,0.0007574553106882672
