,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1559041085910099,0.7064479133137042,0.22068733681966354,0.8253358921340384,-1.2287083584573244,1.5405165756393444
log_median_household_income,-0.00974024783473574,0.059235646102984554,-0.16443220384229054,0.8693909135897323,-0.12583998079754588,0.10635948512807439
pct_black,-0.06661804008582732,0.1295261720209034,-0.5143210753968415,0.6070275291911835,-0.3204846723021377,0.187248592130483
pct_hispanic,0.03527954065722521,0.07282608799417586,0.4844354767490275,0.6280768458338606,-0.1074569689463043,0.17801605026075473
pct_asian,0.25793960472747834,0.08395056616798113,3.0725177506409347,0.002122612087223047,0.09339951855648859,0.4224796908984681
poverty_rate,0.18124739827336206,0.26412993213442965,0.6862054474807334,0.49258356310714313,-0.3364377559491288,0.698932552495853
cdd65_2023,-9.01537791751046e-06,2.1318752779576655e-05,-0.42288486623603905,0.6723792649487212,-5.079936556079387e-05,3.276860972577295e-05
hdd65_2023,3.539162959106201e-05,1.620168195217494e-05,2.1844416953457713,0.028929807201552596,3.6369164758265343e-06,6.714634270629749e-05
plant_mw_per_100k,0.0034871593845839702,0.0007526326819584743,4.633281902547477,3.5991390515320628e-06,0.0020120264343575717,0.004962292334810369
storage_mw_per_100k,0.006243110665710284,0.0027202926204384255,2.2950143741168887,0.021732300549138918,0.0009114351022408828,0.011574786229179686
wind_mw_per_100k_ctrl,-0.00014680846748642312,6.471210524290002e-05,-2.2686399543852023,0.023290229827291932,-0.00027364186312627274,-1.997507184657346e-05
turbines_per_100k,0.00015474251836290965,4.5994327643102516e-05,3.3643826596107536,0.0007671509773039745,6.459529268929369e-05,0.0002448897440365256
