,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.3113660867921507,1.1183322705977028,0.27842001431805086,0.7806899574545283,-1.8805248863282489,2.5032570599125505
log_median_household_income,0.3064887615214269,0.10040703995030592,3.0524628718575535,0.0022697180755520065,0.10969457942455291,0.5032829436183008
pct_black,-0.3759156666788104,0.158501738113632,-2.3716816683064477,0.017707339320801298,-0.6865733648685287,-0.06525796848909204
pct_hispanic,-0.08613181516000763,0.11317080004206936,-0.7610780795752046,0.44661043245359633,-0.3079425073440476,0.13567887702403236
pct_asian,-0.055417180410766056,0.07181385439081116,-0.7716781236832887,0.44030509064472,-0.19616974860775954,0.08533538778622744
poverty_rate,-0.171760951606777,0.35376860488622686,-0.4855177911053354,0.6273090956551128,-0.8651346760447622,0.5216127728312081
cdd65_2023,-1.7770882846132965e-06,3.027881982376313e-05,-0.058690804164653054,0.9531983839267147,-6.112248463356646e-05,5.756830806433987e-05
hdd65_2023,2.92755440102413e-05,2.1394415332937566e-05,1.3683731737772904,0.1711952968358832,-1.2656739512607836e-05,7.120782753309044e-05
pct_bachelors_plus,0.1263216485130685,0.1918342324299448,0.6584937782634777,0.5102208936512478,-0.24966653805150893,0.5023098350776459
log_median_housing_value,-0.2398687855886985,0.08622946323938395,-2.7817497242536726,0.0054066716836998815,-0.4088754279441116,-0.07086214323328544
pct_multifamily_units,0.08719555017950321,0.2235047960845802,0.39012831808095105,0.696441663808684,-0.3508658005182429,0.5252569008772493
pct_mobile_home_units,0.1502704094707389,0.23490582335046897,0.6397049137710911,0.5223644602946709,-0.3101365440549083,0.6106773629963862
pct_other_housing_units,-2.7821671848533827,1.9323181139195091,-1.439808054797997,0.14992171169721055,-6.569441094809986,1.0051067251032206
owner_occupied_rate,-0.7104556973894979,0.31169253581992334,-2.279347805107387,0.022646398385690766,-1.3213618418465085,-0.09954955293248735
