,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.10530905251374698,0.15339516122878852,0.6865213457201481,0.49238440850393916,-0.1953399388973934,0.4059580439248873
log_median_household_income,-0.00960538360727178,0.014207910166271437,-0.6760588640315501,0.49900327271234224,-0.03745237582874429,0.018241608614200728
pct_black,-0.020965947590357123,0.018416110239153263,-1.13845689008653,0.2549297502964546,-0.05706086039441684,0.015128965213702592
pct_hispanic,-0.015178866122541879,0.010541841129987538,-1.4398686088489576,0.1499045757607264,-0.035840495068060474,0.00548276282297672
pct_asian,-0.004125028724248844,0.009877717149363582,-0.41760952068916235,0.6762326346959937,-0.023484998586475115,0.015234941137977426
poverty_rate,0.007588197948927958,0.04413290720080501,0.17193968016658429,0.863484950834277,-0.07891071069769828,0.09408710659555419
cdd65_2023,1.6989088651832975e-06,4.170125563994262e-06,0.4073999305565359,0.6837142779674642,-6.474387051255236e-06,9.872204781621832e-06
hdd65_2023,-4.3048712719702565e-08,2.2394544210743856e-06,-0.01922285727925188,0.9846633234984742,-4.432298723044496e-06,4.346201297605091e-06
pct_multifamily_units,0.035812629098080986,0.029045459191476043,1.2329854681240813,0.21758118591663034,-0.02111542483163993,0.0927406830278019
pct_mobile_home_units,-0.010578608410558873,0.013462247777323974,-0.7857980766315749,0.43198579358402045,-0.03696412920506826,0.01580691238395051
owner_occupied_rate,0.009028844756292707,0.03810186557533348,0.2369659495659402,0.8126832062859969,-0.06564943951514743,0.08370712902773284
