,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.18039174466200672,0.1463197077881313,1.2328602031054572,0.21762792547733456,-0.10638961283115547,0.46717310215516894
C(utility)[T.San Diego Gas & Electric],-0.012334369316307195,0.005161029226024446,-2.389904954250451,0.016852733489894193,-0.02244980072247374,-0.002218937910140651
C(utility)[T.Southern California Edison],-0.007230012799980034,0.0046255098761849136,-1.5630736920927937,0.11803526269145642,-0.01629584556743679,0.0018358199674767218
log_median_household_income,-0.01308171930719516,0.01154561874697557,-1.133046187812323,0.25719485756439675,-0.03571071623049775,0.009547277616107425
pct_black,0.0003624000564575909,0.02077611687804435,0.017443108285579857,0.9860831189398411,-0.04035804076310408,0.041082840876019266
pct_hispanic,-0.020803545282460905,0.013444047564037179,-1.5474168165032665,0.12176276875167269,-0.04715339431441722,0.005546303749495413
pct_asian,0.004416571414288197,0.006436430217500889,0.6861833757288905,0.49259747961645817,-0.008198600001018852,0.017031742829595246
poverty_rate,0.022505659179141886,0.05844258494943829,0.38509007085522823,0.7001706841411248,-0.09203970248517979,0.13705102084346354
cdd65_2023,-2.1053793228489828e-06,2.4345981470164486e-06,-0.8647748809917903,0.3871623606275615,-6.8771040078291745e-06,2.6663453621312086e-06
hdd65_2023,-5.258943812795278e-06,2.5992885783249584e-06,-2.0232242993905136,0.043050027495996276,-1.0353455811738516e-05,-1.6443181385204035e-07
