,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.18977805153138294,0.1482105716987945,1.2804623135592865,0.20038259071061737,-0.10070933112634572,0.4802654341891116
C(utility)[T.San Diego Gas & Electric],-0.0135636676159606,0.005764736677838754,-2.352868547856331,0.018629218479869113,-0.02486234388488164,-0.002264991347039561
C(utility)[T.Southern California Edison],-0.008260216704503552,0.004930712626803911,-1.6752581887656726,0.09388358512342525,-0.017924235871156102,0.0014038024621489988
log_median_household_income,-0.013590815093767486,0.011821029319427898,-1.1497150312816617,0.2502612612959525,-0.03675960682003819,0.009577976632503218
pct_black,-0.00031624648038114074,0.020108409592120943,-0.015727075725822458,0.9874521263610035,-0.039728005067317954,0.039095512106555666
pct_hispanic,-0.02174022153629673,0.014320846478161776,-1.518082158722178,0.12899368823780452,-0.04980856486162108,0.0063281217890276235
pct_asian,0.00435470463938784,0.007275015240496268,0.5985835761755438,0.5494506109512263,-0.009904063218964844,0.018613472497740525
poverty_rate,0.02219799535554898,0.06442912696729639,0.3445335425205509,0.7304450750406989,-0.10408077305571029,0.14847676376680824
cdd65_2023,-1.9958711333949376e-06,2.2603445485740626e-06,-0.8829942030979445,0.377239403569851,-6.4260650412515475e-06,2.4343227744616723e-06
hdd65_2023,-6.223258152477388e-06,2.9928835019853817e-06,-2.079351952172238,0.037585013286421096,-1.2089202026292846e-05,-3.573142786619286e-07
