,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11600757553057539,0.13661400728134873,0.8491631117420078,0.39579053629575434,-0.15175095852456083,0.3837661095857116
log_median_household_income,-0.00839302115589326,0.010976972066991969,-0.7646025793516671,0.4445082327684262,-0.029907491066499713,0.013121448754713192
pct_black,-0.0004629113241782874,0.02043983444598757,-0.022647508491398714,0.9819314472364148,-0.04052425068827513,0.03959842803991856
pct_hispanic,-0.01892353476948262,0.011977261286345657,-1.5799550762957695,0.11411715480019012,-0.042398535524145985,0.004551465985180747
pct_asian,0.004856116527358385,0.006769417406769105,0.7173610719443142,0.47315133288236166,-0.008411697786227591,0.01812393084094436
poverty_rate,0.023135759174061164,0.05085390405366719,0.4549455858815778,0.6491483861641365,-0.07653606124438199,0.12280757959250431
cdd65_2023,-2.0403819879162647e-06,2.3045639399739618e-06,-0.8853657529412345,0.375959397060708,-6.557244310334956e-06,2.4764803345024273e-06
hdd65_2023,-2.7485621783709107e-06,1.7098353041241154e-06,-1.6075011270040984,0.10794448237342105,-6.099777793949267e-06,6.026534372074457e-07
plant_capacity_mw,0.005036199700203119,0.005285466561302105,0.952839194381815,0.3406715522891671,-0.005323124401439771,0.01539552380184601
storage_capacity_mw,-0.001750338550050305,0.0009135736733512339,-1.9159249014144557,0.05537465537058203,-0.003540910047042683,4.023294694207322e-05
wind_capacity_mw,-2.3335135808822595e-05,1.3931184330205712e-05,-1.6750288601254923,0.09392856934615519,-5.063975535801455e-05,3.969483740369358e-06
wind_turbine_count,1.0159514102875438e-05,9.698634981173559e-06,1.0475199987004884,0.29485981344744183,-8.849461159425044e-06,2.916848936517592e-05
PV_system_size_DC,1.6780273875908641e-06,0.00013550792453777142,0.012383241742612119,0.9901198551127951,-0.00026391262432621257,0.0002672686791013943
