,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.12200296388008736,0.1350272973429226,0.9035429596894179,0.3662377988541843,-0.14264567584182186,0.3866516036019966
log_median_household_income,-0.008955558929273723,0.010869209275880505,-0.8239384026901295,0.40997455852687403,-0.030258817650428194,0.012347699791880749
pct_black,-0.004265579261438172,0.01807480206421335,-0.23599590447984348,0.8134358481834171,-0.039691540334986564,0.031160381812110224
pct_hispanic,-0.020643932819026576,0.013664711243388562,-1.510747827109394,0.13085271191555942,-0.0474262747152077,0.0061384090771545476
pct_asian,0.002389751557988538,0.007432417765387016,0.32153084412419336,0.7478081418929412,-0.012177519580225683,0.016957022696202757
poverty_rate,0.029948707584282,0.05531137795421153,0.5414565446023505,0.5881929421163123,-0.07845960114125533,0.13835701630981934
cdd65_2023,-1.9326008960133977e-06,2.032501174626774e-06,-0.9508485998136159,0.34168123749180723,-5.916229996817229e-06,2.0510282047904344e-06
hdd65_2023,-2.686594834367123e-06,1.7313575082833334e-06,-1.551727370871497,0.1207274706409347,-6.079993194965465e-06,7.068035262312189e-07
plant_mw_per_100k,0.00015054095958056817,0.0001854767268974116,0.8116433910537647,0.4169962855868461,-0.0002129867451087301,0.0005140686642698664
storage_mw_per_100k,-0.00017769796187916333,0.00015340466860571872,-1.1583608471257374,0.24671680993193557,-0.0004783655874066743,0.00012296966364834766
wind_mw_per_100k_ctrl,-1.4488160683184055e-06,8.493826836667453e-07,-1.705728284998623,0.08805868083525684,-3.113575537397204e-06,2.1594340076039292e-07
turbines_per_100k,7.922047124863588e-07,6.636536779629204e-07,1.1937019846224988,0.232594563898477,-5.085325945285086e-07,2.092942019501226e-06
