,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9377950963784919,0.08859978578144122,10.584620358923368,3.512015304319105e-26,0.7641427072089031,1.1114474855480807
log_median_household_income_c,-0.1859898266236983,0.0657000207855732,-2.8308944867874235,0.004641803093049106,-0.3147595011469547,-0.0572201521004419
pct_black_c,-0.08293428177323062,0.38808302075924933,-0.2137024227727799,0.8307791218893863,-0.8435630254728694,0.6776944619264083
pct_hispanic_c,-0.5407067929566183,0.0982003857543001,-5.506157524772669,3.667503893598524e-08,-0.7331760123029867,-0.3482375736102499
pct_asian_c,0.3132866698379556,0.15586787684015396,2.009950197494755,0.044436460142924204,0.007791244884529036,0.6187820947913822
cdd65_2023,-0.00021438611765554923,2.875212309407089e-05,-7.456357812399558,8.894698697431855e-14,-0.0002707392433989905,-0.00015803299191210796
hdd65_2023,-7.352762261836214e-05,2.4667419180060935e-05,-2.980758630712194,0.0028753532479706165,-0.00012187487580283412,-2.5180369433890163e-05
log_median_household_income_c:pct_black_c,-2.060101910691904,1.0079567389532604,-2.0438396124334384,0.040969394426601274,-4.035660817014735,-0.0845430043690727
log_median_household_income_c:pct_hispanic_c,-0.45144949680721436,0.2054809812006038,-2.197037867784368,0.028017741853397483,-0.8541848194683497,-0.04871417414607904
log_median_household_income_c:pct_asian_c,0.4762682128257983,0.3651168194718688,1.3044269324943913,0.19208805733135959,-0.23934760348887724,1.1918840291404738
